# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster7	48	P54762	GO:0014719; P:skeletal muscle satellite cell activation; ISS:UniProtKB	bGalGal|ENSGALP00010005650.1;bGalGal|ENSGALP00010006062.1;bGalGal|ENSGALP00010006844.1;bGalGal|ENSGALP00010008752.1;bGalGal|ENSGALP00010018790.1;bGalGal|ENSGALP00010022332.1;bGalGal|ENSGALP00010023272.1;bGalGal|ENSGALP00010023612.1;bGalGal|ENSGALP00010023841.1;bGalGal|ENSGALP00010034252.1;bGalGal|ENSGALP00010036672.1;bGalGal|ENSGALP00010038239.1;bGymCal|ENSGALT00010009624.3;bGymCal|ENSGALT00010010379.1;bGymCal|ENSGALT00010012247.5;bGymCal|ENSGALT00010014861.1;bGymCal|ENSGALT00010040649.79;bGymCal|ENSGALT00010040877.79;bGymCal|ENSGALT00010056509.58;bGypBar|ENSGALT00010009624.12;bGypBar|ENSGALT00010010379.6;bGypBar|ENSGALT00010012247.4;bGypBar|ENSGALT00010014861.6;bGypBar|ENSGALT00010038595.14;bGypBar|ENSGALT00010040649.92;bGypBar|ENSGALT00010040877.92;bGypBar|ENSGALT00010056509.74;bGypHim|ENSGALT00010009624.48;bGypHim|ENSGALT00010010379.205;bGypHim|ENSGALT00010012247.46;bGypHim|ENSGALT00010014861.7;bGypHim|ENSGALT00010032000.177;bGypHim|ENSGALT00010038595.60;bGypHim|ENSGALT00010040649.344;bGypHim|ENSGALT00010040877.344;bGypHim|ENSGALT00010056509.206;bGypHim|ENSGALT00010059912.322;bVulGry|ENSGALT00010009624.3;bVulGry|ENSGALT00010010379.1;bVulGry|ENSGALT00010012247.5;bVulGry|ENSGALT00010014861.1;bVulGry|ENSGALT00010032000.44;bVulGry|ENSGALT00010038595.9;bVulGry|ENSGALT00010040146.53;bVulGry|ENSGALT00010040649.77;bVulGry|ENSGALT00010040877.77;bVulGry|ENSGALT00010056509.56;bVulGry|ENSGALT00010059912.61
cluster38	26	Q28084	GO:0007155; P:cell adhesion; IEA:UniProtKB-KW	bGalGal|ENSGALP00010019954.1;bGalGal|ENSGALP00010020282.1;bGalGal|ENSGALP00010021793.1;bGalGal|ENSGALP00010021878.1;bGalGal|ENSGALP00010035066.1;bGalGal|ENSGALP00010035202.1;bGymCal|ENSGALT00010034533.50;bGymCal|ENSGALT00010057778.9;bGymCal|ENSGALT00010058023.9;bGypBar|ENSGALT00010033954.68;bGypBar|ENSGALT00010034533.68;bGypBar|ENSGALT00010037726.34;bGypBar|ENSGALT00010037928.34;bGypBar|ENSGALT00010057791.14;bGypBar|ENSGALT00010058023.14;bGypHim|ENSGALT00010033954.155;bGypHim|ENSGALT00010034533.155;bGypHim|ENSGALT00010037726.23;bGypHim|ENSGALT00010057791.35;bGypHim|ENSGALT00010058023.35;bVulGry|ENSGALT00010033954.50;bVulGry|ENSGALT00010034533.50;bVulGry|ENSGALT00010037726.23;bVulGry|ENSGALT00010037928.23;bVulGry|ENSGALT00010057778.9;bVulGry|ENSGALT00010058023.9
cluster211	13	Q96KK4	GO:0004984; F:olfactory receptor activity; IBA:GO_Central	bGalGal|ENSGALP00010032450.1;bGymCal|ENSGALT00010003807.27963;bGymCal|ENSGALT00010054039.19649;bGypBar|ENSGALT00010003433.13869;bGypHim|ENSGALT00010003219.42399;bVulGry|ENSGALT00010003433.12388;bVulGry|ENSGALT00010003433.5599;bVulGry|ENSGALT00010003580.2795;bVulGry|ENSGALT00010003599.2795;bVulGry|ENSGALT00010003691.1225;bVulGry|ENSGALT00010003691.8162;bVulGry|ENSGALT00010004053.17386;bVulGry|ENSGALT00010007667.54118
cluster221	12	Q96RD2	GO:0004984; F:olfactory receptor activity; IBA:GO_Central	bGalGal|ENSGALP00010004857.1;bGalGal|ENSGALP00010004865.1;bGymCal|ENSGALT00010008126.119;bGymCal|ENSGALT00010008158.119;bGypBar|ENSGALT00010008158.15;bGypHim|ENSGALT00010007800.23699;bGypHim|ENSGALT00010008126.529;bGypHim|ENSGALT00010008158.529;bVulGry|ENSGALT00010004062.76682;bVulGry|ENSGALT00010004151.56027;bVulGry|ENSGALT00010008126.1;bVulGry|ENSGALT00010008158.1
cluster233	12	P35556	GO:0035583; P:sequestering of TGFbeta in extracellular matrix; ISS:BHF-UCL	bGalGal|ENSGALP00010018074.1;bGalGal|ENSGALP00010026614.1;bGalGal|ENSGALP00010042150.1;bGalGal|ENSGALP00010042826.1;bGymCal|ENSGALT00010031081.22;bGymCal|ENSGALT00010044686.11;bGypBar|ENSGALT00010031081.32;bGypBar|ENSGALT00010044686.16;bGypHim|ENSGALT00010031081.247;bVulGry|ENSGALT00010031081.21;bVulGry|ENSGALT00010044686.11;bVulGry|ENSGALT00010068518.98
cluster240	11	Q14839	GO:0006357; P:regulation of transcription by RNA polymerase II; TAS:ProtInc	bGalGal|ENSGALP00010000143.1;bGalGal|ENSGALP00010027993.1;bGalGal|ENSGALP00010032357.1;bGymCal|ENSGALT00010047219.35;bGymCal|ENSGALT00010053734.58;bGypBar|ENSGALT00010047219.48;bGypBar|ENSGALT00010053734.74;bGypHim|ENSGALT00010053734.206;bVulGry|ENSGALT00010000268.218;bVulGry|ENSGALT00010047219.35;bVulGry|ENSGALT00010053734.56
cluster249	11	Q9BTC8	GO:0010971; P:positive regulation of G2/M transition of mitotic cell cycle; IEA:Ensembl	bGalGal|ENSGALP00010002253.1;bGalGal|ENSGALP00010018661.1;bGalGal|ENSGALP00010028931.1;bGymCal|ENSGALT00010031857.25;bGymCal|ENSGALT00010048948.3;bGypBar|ENSGALT00010031857.11;bGypBar|ENSGALT00010048948.10;bGypHim|ENSGALT00010048948.5;bVulGry|ENSGALT00010003950.287;bVulGry|ENSGALT00010031857.25;bVulGry|ENSGALT00010048948.3
cluster256	11	O95382	GO:0007165; P:signal transduction; TAS:ProtInc	bGalGal|ENSGALP00010004106.1;bGalGal|ENSGALP00010007241.1;bGalGal|ENSGALP00010023562.1;bGymCal|ENSGALT00010006731.1;bGypBar|ENSGALT00010006721.6;bGypBar|ENSGALT00010012677.21;bGypHim|ENSGALT00010006721.158;bGypHim|ENSGALT00010012677.220;bVulGry|ENSGALT00010006731.1;bVulGry|ENSGALT00010012677.3;bVulGry|ENSGALT00010040583.68
cluster284	11	P10588	GO:0006367; P:transcription initiation from RNA polymerase II promoter; TAS:Reactome	bGalGal|ENSGALP00010019339.1;bGalGal|ENSGALP00010023081.1;bGalGal|ENSGALP00010042659.1;bGymCal|ENSGALT00010039879.11;bGypBar|ENSGALT00010039879.16;bGypBar|ENSGALT00010069217.61;bGypHim|ENSGALT00010039879.33;bGypHim|ENSGALT00010069217.491;bVulGry|ENSGALT00010032633.15;bVulGry|ENSGALT00010039879.11;bVulGry|ENSGALT00010069217.45
cluster291	11	Q8TC27	GO:0004222; F:metalloendopeptidase activity; IEA:InterPro	bGalGal|ENSGALP00010025280.1;bGalGal|ENSGALP00010025335.1;bGalGal|ENSGALP00010025375.1;bGymCal|ENSGALT00010042885.43;bGypBar|ENSGALT00010042848.56;bGypBar|ENSGALT00010042885.56;bGypHim|ENSGALT00010042848.164;bGypHim|ENSGALT00010042880.164;bVulGry|ENSGALT00010042790.40;bVulGry|ENSGALT00010042848.40;bVulGry|ENSGALT00010042885.40
