# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster7	48	P54762	GO:0014719; P:skeletal muscle satellite cell activation; ISS:UniProtKB	bGalGal|ENSGALP00010005650.1;bGalGal|ENSGALP00010006062.1;bGalGal|ENSGALP00010006844.1;bGalGal|ENSGALP00010008752.1;bGalGal|ENSGALP00010018790.1;bGalGal|ENSGALP00010022332.1;bGalGal|ENSGALP00010023272.1;bGalGal|ENSGALP00010023612.1;bGalGal|ENSGALP00010023841.1;bGalGal|ENSGALP00010034252.1;bGalGal|ENSGALP00010036672.1;bGalGal|ENSGALP00010038239.1;bGymCal|ENSGALT00010009624.3;bGymCal|ENSGALT00010010379.1;bGymCal|ENSGALT00010012247.5;bGymCal|ENSGALT00010014861.1;bGymCal|ENSGALT00010040649.79;bGymCal|ENSGALT00010040877.79;bGymCal|ENSGALT00010056509.58;bGypBar|ENSGALT00010009624.12;bGypBar|ENSGALT00010010379.6;bGypBar|ENSGALT00010012247.4;bGypBar|ENSGALT00010014861.6;bGypBar|ENSGALT00010038595.14;bGypBar|ENSGALT00010040649.92;bGypBar|ENSGALT00010040877.92;bGypBar|ENSGALT00010056509.74;bGypHim|ENSGALT00010009624.48;bGypHim|ENSGALT00010010379.205;bGypHim|ENSGALT00010012247.46;bGypHim|ENSGALT00010014861.7;bGypHim|ENSGALT00010032000.177;bGypHim|ENSGALT00010038595.60;bGypHim|ENSGALT00010040649.344;bGypHim|ENSGALT00010040877.344;bGypHim|ENSGALT00010056509.206;bGypHim|ENSGALT00010059912.322;bVulGry|ENSGALT00010009624.3;bVulGry|ENSGALT00010010379.1;bVulGry|ENSGALT00010012247.5;bVulGry|ENSGALT00010014861.1;bVulGry|ENSGALT00010032000.44;bVulGry|ENSGALT00010038595.9;bVulGry|ENSGALT00010040146.53;bVulGry|ENSGALT00010040649.77;bVulGry|ENSGALT00010040877.77;bVulGry|ENSGALT00010056509.56;bVulGry|ENSGALT00010059912.61
cluster20	33	P63258	GO:0048488; P:synaptic vesicle endocytosis; IEA:Ensembl	bGalGal|ENSGALP00010007547.1;bGalGal|ENSGALP00010013941.1;bGalGal|ENSGALP00010014151.1;bGalGal|ENSGALP00010029396.1;bGalGal|ENSGALP00010030440.1;bGalGal|ENSGALP00010030654.1;bGalGal|ENSGALP00010032331.1;bGalGal|ENSGALP00010037286.1;bGalGal|ENSGALP00010042381.1;bGalGal|ENSGALP00010044053.1;bGymCal|ENSGALT00010024572.3;bGymCal|ENSGALT00010049751.43;bGymCal|ENSGALT00010051244.107;bGymCal|ENSGALT00010051464.27;bGymCal|ENSGALT00010053678.8;bGymCal|ENSGALT00010060527.46;bGypBar|ENSGALT00010024572.10;bGypBar|ENSGALT00010049751.82;bGypBar|ENSGALT00010051244.117;bGypBar|ENSGALT00010051464.36;bGypBar|ENSGALT00010053671.9;bGypBar|ENSGALT00010060527.63;bGypBar|ENSGALT00010071362.29;bGypHim|ENSGALT00010049751.410;bGypHim|ENSGALT00010051464.462;bGypHim|ENSGALT00010053671.132;bVulGry|ENSGALT00010024572.3;bVulGry|ENSGALT00010049751.65;bVulGry|ENSGALT00010051244.99;bVulGry|ENSGALT00010051464.27;bVulGry|ENSGALT00010053678.8;bVulGry|ENSGALT00010060527.47;bVulGry|ENSGALT00010071362.18
cluster38	26	Q28084	GO:0007155; P:cell adhesion; IEA:UniProtKB-KW	bGalGal|ENSGALP00010019954.1;bGalGal|ENSGALP00010020282.1;bGalGal|ENSGALP00010021793.1;bGalGal|ENSGALP00010021878.1;bGalGal|ENSGALP00010035066.1;bGalGal|ENSGALP00010035202.1;bGymCal|ENSGALT00010034533.50;bGymCal|ENSGALT00010057778.9;bGymCal|ENSGALT00010058023.9;bGypBar|ENSGALT00010033954.68;bGypBar|ENSGALT00010034533.68;bGypBar|ENSGALT00010037726.34;bGypBar|ENSGALT00010037928.34;bGypBar|ENSGALT00010057791.14;bGypBar|ENSGALT00010058023.14;bGypHim|ENSGALT00010033954.155;bGypHim|ENSGALT00010034533.155;bGypHim|ENSGALT00010037726.23;bGypHim|ENSGALT00010057791.35;bGypHim|ENSGALT00010058023.35;bVulGry|ENSGALT00010033954.50;bVulGry|ENSGALT00010034533.50;bVulGry|ENSGALT00010037726.23;bVulGry|ENSGALT00010037928.23;bVulGry|ENSGALT00010057778.9;bVulGry|ENSGALT00010058023.9
cluster54	21	Q8BKT3	GO:0000245; P:spliceosomal complex assembly; ISS:UniProtKB	bGalGal|ENSGALP00010001292.1;bGalGal|ENSGALP00010001298.1;bGalGal|ENSGALP00010011256.1;bGalGal|ENSGALP00010011270.1;bGalGal|ENSGALP00010011283.1;bGalGal|ENSGALP00010011365.1;bGalGal|ENSGALP00010011388.1;bGalGal|ENSGALP00010011466.1;bGalGal|ENSGALP00010011486.1;bGalGal|ENSGALP00010011547.1;bGalGal|ENSGALP00010011563.1;bGalGal|ENSGALP00010011599.1;bGalGal|ENSGALP00010011750.1;bGalGal|ENSGALP00010011766.1;bGalGal|ENSGALP00010011806.1;bGalGal|ENSGALP00010011871.1;bGalGal|ENSGALP00010011911.1;bGalGal|ENSGALP00010011930.1;bGalGal|ENSGALP00010011956.1;bGalGal|ENSGALP00010012071.1;bVulGry|ENSGALT00010020050.417
cluster85	17	Q90980	GO:0007601; P:visual perception; IEA:UniProtKB-KW	bGalGal|ENSGALP00010002007.1;bGalGal|ENSGALP00010021155.1;bGalGal|ENSGALP00010021652.1;bGalGal|ENSGALP00010023666.1;bGymCal|ENSGALT00010037364.1;bGymCal|ENSGALT00010040701.5;bGypBar|ENSGALT00010003573.15;bGypBar|ENSGALT00010036368.75;bGypBar|ENSGALT00010037364.22;bGypBar|ENSGALT00010040701.4;bGypHim|ENSGALT00010036368.340;bGypHim|ENSGALT00010037364.202;bGypHim|ENSGALT00010040701.15;bVulGry|ENSGALT00010003573.1;bVulGry|ENSGALT00010036368.60;bVulGry|ENSGALT00010037364.1;bVulGry|ENSGALT00010040701.5
cluster94	17	O60218	GO:0001523; P:retinoid metabolic process; TAS:Reactome	bGalGal|ENSGALP00010019032.1;bGalGal|ENSGALP00010019057.1;bGalGal|ENSGALP00010019092.1;bGalGal|ENSGALP00010019128.1;bGalGal|ENSGALP00010019239.1;bGalGal|ENSGALP00010021382.1;bGymCal|ENSGALT00010032494.1;bGymCal|ENSGALT00010036657.1;bGypBar|ENSGALT00010032351.18;bGypBar|ENSGALT00010032494.18;bGypBar|ENSGALT00010036662.18;bGypHim|ENSGALT00010032302.30;bGypHim|ENSGALT00010032494.30;bGypHim|ENSGALT00010036662.30;bVulGry|ENSGALT00010032351.1;bVulGry|ENSGALT00010032494.1;bVulGry|ENSGALT00010036669.1
cluster153	14	Q9H0Y8	GO:0007169; P:transmembrane receptor protein tyrosine kinase signaling pathway; IMP:UniProtKB	bGalGal|ENSGALP00010002698.1;bGalGal|ENSGALP00010006336.1;bGalGal|ENSGALP00010022699.1;bGalGal|ENSGALP00010034857.1;bGymCal|ENSGALT00010004440.2;bGymCal|ENSGALT00010011158.3;bGypBar|ENSGALT00010004440.1;bGypBar|ENSGALT00010011158.21;bGypBar|ENSGALT00010039323.85;bGypBar|ENSGALT00010057346.30;bGypHim|ENSGALT00010057346.83;bVulGry|ENSGALT00010004440.2;bVulGry|ENSGALT00010011158.3;bVulGry|ENSGALT00010057346.19
cluster188	13	Q8NGJ6	GO:0004984; F:olfactory receptor activity; IBA:GO_Central	bGalGal|ENSGALP00010004670.1;bGalGal|ENSGALP00010004683.1;bGalGal|ENSGALP00010004687.1;bGalGal|ENSGALP00010004897.1;bGalGal|ENSGALP00010004902.1;bGymCal|ENSGALT00010007778.119;bGypBar|ENSGALT00010002979.93749;bGypBar|ENSGALT00010007778.15;bGypHim|ENSGALT00010002979.142203;bGypHim|ENSGALT00010003964.122767;bGypHim|ENSGALT00010007778.529;bVulGry|ENSGALT00010003380.113925;bVulGry|ENSGALT00010003981.79441
cluster225	12	Q8JZW4	GO:1903861; P:positive regulation of dendrite extension; ISO:MGI	bGalGal|ENSGALP00010010843.1;bGalGal|ENSGALP00010031155.1;bGalGal|ENSGALP00010037435.1;bGymCal|ENSGALT00010019295.1;bGypBar|ENSGALT00010019295.2;bGypBar|ENSGALT00010052166.24;bGypBar|ENSGALT00010060676.50;bGypHim|ENSGALT00010019295.4;bGypHim|ENSGALT00010052166.9;bVulGry|ENSGALT00010019295.1;bVulGry|ENSGALT00010052166.14;bVulGry|ENSGALT00010060676.37
cluster234	12	Q14C87	GO:0010923; P:negative regulation of phosphatase activity; IDA:UniProtKB	bGalGal|ENSGALP00010029711.1;bGalGal|ENSGALP00010029841.1;bGalGal|ENSGALP00010034460.1;bGymCal|ENSGALT00010050280.21;bGypBar|ENSGALT00010050280.33;bGypBar|ENSGALT00010050551.33;bGypBar|ENSGALT00010056718.33;bGypHim|ENSGALT00010050280.11;bGypHim|ENSGALT00010056718.11;bVulGry|ENSGALT00010050280.22;bVulGry|ENSGALT00010050551.22;bVulGry|ENSGALT00010056718.22
cluster246	11	Q9BQS7	GO:0006826; P:iron ion transport; IMP:UniProtKB	bGalGal|ENSGALP00010001105.1;bGalGal|ENSGALP00010011881.1;bGalGal|ENSGALP00010021853.1;bGalGal|ENSGALP00010023587.1;bGymCal|ENSGALT00010020508.1;bGypBar|ENSGALT00010020508.15;bGypBar|ENSGALT00010040616.73;bGypHim|ENSGALT00010020508.135;bGypHim|ENSGALT00010040616.228;bVulGry|ENSGALT00010020508.1;bVulGry|ENSGALT00010040616.58
cluster252	11	Q92080	GO:0006471; P:protein ADP-ribosylation; IBA:GO_Central	bGalGal|ENSGALP00010003276.1;bGalGal|ENSGALP00010003292.1;bGalGal|ENSGALP00010003314.1;bGalGal|ENSGALP00010004298.1;bGalGal|ENSGALP00010004329.1;bGalGal|ENSGALP00010004346.1;bGalGal|ENSGALP00010005205.1;bGalGal|ENSGALP00010005227.1;bGypBar|ENSGALT00010008883.88;bGypHim|ENSGALT00010008883.746;bVulGry|ENSGALT00010008883.70
cluster253	11	Q9HCY6	GO:0005886; C:plasma membrane; IEA:UniProtKB-SubCell	bGalGal|ENSGALP00010003349.1;bGalGal|ENSGALP00010011772.1;bGalGal|ENSGALP00010024172.1;bGymCal|ENSGALT00010020245.2;bGypBar|ENSGALT00010005510.20;bGypBar|ENSGALT00010020245.1;bGypBar|ENSGALT00010041285.60;bGypHim|ENSGALT00010005510.86;bVulGry|ENSGALT00010005510.3;bVulGry|ENSGALT00010020245.2;bVulGry|ENSGALT00010041285.44
cluster256	11	O95382	GO:0007165; P:signal transduction; TAS:ProtInc	bGalGal|ENSGALP00010004106.1;bGalGal|ENSGALP00010007241.1;bGalGal|ENSGALP00010023562.1;bGymCal|ENSGALT00010006731.1;bGypBar|ENSGALT00010006721.6;bGypBar|ENSGALT00010012677.21;bGypHim|ENSGALT00010006721.158;bGypHim|ENSGALT00010012677.220;bVulGry|ENSGALT00010006731.1;bVulGry|ENSGALT00010012677.3;bVulGry|ENSGALT00010040583.68
cluster262	11	Q91YS8	GO:0007165; P:signal transduction; IDA:MGI	bGalGal|ENSGALP00010007289.1;bGalGal|ENSGALP00010022602.1;bGalGal|ENSGALP00010031246.1;bGalGal|ENSGALP00010040196.1;bGymCal|ENSGALT00010012729.1;bGypBar|ENSGALT00010012729.2;bGypBar|ENSGALT00010052298.24;bGypHim|ENSGALT00010012729.4;bGypHim|ENSGALT00010052294.9;bVulGry|ENSGALT00010012729.1;bVulGry|ENSGALT00010052298.14
cluster264	11	Q9BYZ6	GO:0007266; P:Rho protein signal transduction; IBA:GO_Central	bGalGal|ENSGALP00010008539.1;bGalGal|ENSGALP00010013195.1;bGalGal|ENSGALP00010028136.1;bGymCal|ENSGALT00010022833.42;bGypBar|ENSGALT00010014522.4;bGypBar|ENSGALT00010022833.57;bGypBar|ENSGALT00010047504.56;bGypHim|ENSGALT00010014522.610;bGypHim|ENSGALT00010022833.198;bVulGry|ENSGALT00010014522.5;bVulGry|ENSGALT00010047516.40
cluster276	11	Q9P217	GO:1902667; P:regulation of axon guidance; IBA:GO_Central	bGalGal|ENSGALP00010015840.1;bGalGal|ENSGALP00010017662.1;bGalGal|ENSGALP00010039215.1;bGymCal|ENSGALT00010027647.326;bGypBar|ENSGALT00010027647.145;bGypBar|ENSGALT00010027647.196;bGypBar|ENSGALT00010063530.11;bGypHim|ENSGALT00010027647.646;bGypHim|ENSGALT00010063530.12;bVulGry|ENSGALT00010027647.137;bVulGry|ENSGALT00010063530.10
cluster280	11	P48066	GO:0042493; P:response to drug; IEA:Ensembl	bGalGal|ENSGALP00010016982.1;bGalGal|ENSGALP00010022200.1;bGalGal|ENSGALP00010040298.1;bGymCal|ENSGALT00010038392.1;bGypBar|ENSGALT00010029291.18;bGypBar|ENSGALT00010038392.18;bGypBar|ENSGALT00010066031.40;bGypHim|ENSGALT00010038392.259;bGypHim|ENSGALT00010066031.285;bVulGry|ENSGALT00010038392.1;bVulGry|ENSGALT00010066031.31
cluster284	11	P10588	GO:0006367; P:transcription initiation from RNA polymerase II promoter; TAS:Reactome	bGalGal|ENSGALP00010019339.1;bGalGal|ENSGALP00010023081.1;bGalGal|ENSGALP00010042659.1;bGymCal|ENSGALT00010039879.11;bGypBar|ENSGALT00010039879.16;bGypBar|ENSGALT00010069217.61;bGypHim|ENSGALT00010039879.33;bGypHim|ENSGALT00010069217.491;bVulGry|ENSGALT00010032633.15;bVulGry|ENSGALT00010039879.11;bVulGry|ENSGALT00010069217.45
cluster291	11	Q8TC27	GO:0004222; F:metalloendopeptidase activity; IEA:InterPro	bGalGal|ENSGALP00010025280.1;bGalGal|ENSGALP00010025335.1;bGalGal|ENSGALP00010025375.1;bGymCal|ENSGALT00010042885.43;bGypBar|ENSGALT00010042848.56;bGypBar|ENSGALT00010042885.56;bGypHim|ENSGALT00010042848.164;bGypHim|ENSGALT00010042880.164;bVulGry|ENSGALT00010042790.40;bVulGry|ENSGALT00010042848.40;bVulGry|ENSGALT00010042885.40
cluster295	11	Q9Z0S8	GO:0005452; F:inorganic anion exchanger activity; IEA:InterPro	bGalGal|ENSGALP00010030854.1;bGalGal|ENSGALP00010037540.1;bGalGal|ENSGALP00010040120.1;bGymCal|ENSGALT00010051727.7;bGypBar|ENSGALT00010051727.8;bGypBar|ENSGALT00010060781.49;bGypBar|ENSGALT00010065854.3;bGypHim|ENSGALT00010065854.518;bVulGry|ENSGALT00010051727.7;bVulGry|ENSGALT00010060781.36;bVulGry|ENSGALT00010065854.2
cluster296	11	P38606	GO:0033572; P:transferrin transport; TAS:Reactome	bGalGal|ENSGALP00010033050.1;bGalGal|ENSGALP00010041672.1;bGalGal|ENSGALP00010041684.1;bGalGal|ENSGALP00010042934.1;bGymCal|ENSGALT00010054696.1;bGypBar|ENSGALT00010054696.6;bGypBar|ENSGALT00010067941.86;bGypHim|ENSGALT00010054696.242;bGypHim|ENSGALT00010069808.1233;bVulGry|ENSGALT00010054696.1;bVulGry|ENSGALT00010069808.230
cluster297	11	Q920M5	N/A	bGalGal|ENSGALP00010033047.1;bGalGal|ENSGALP00010033101.1;bGalGal|ENSGALP00010044529.1;bGymCal|ENSGALT00010054768.21;bGypBar|ENSGALT00010054768.33;bGypBar|ENSGALT00010071839.4278;bGypHim|ENSGALT00010054768.11;bGypHim|ENSGALT00010071839.407;bVulGry|ENSGALT00010054693.62;bVulGry|ENSGALT00010054768.22;bVulGry|ENSGALT00010071839.17
cluster323	10	Q8IUX7	GO:0001501; P:skeletal system development; TAS:ProtInc	bGalGal|ENSGALP00010002503.1;bGalGal|ENSGALP00010024576.1;bGalGal|ENSGALP00010027516.1;bGymCal|ENSGALT00010004205.8;bGypBar|ENSGALT00010004205.9;bGypHim|ENSGALT00010004205.84;bGypHim|ENSGALT00010041988.4115;bVulGry|ENSGALT00010004205.8;bVulGry|ENSGALT00010041988.5;bVulGry|ENSGALT00010046173.128
cluster408	10	Q9NYQ7	GO:0060071; P:Wnt signaling pathway, planar cell polarity pathway; NAS:ParkinsonsUK-UCL	bGalGal|ENSGALP00010011584.1;bGalGal|ENSGALP00010037319.1;bGalGal|ENSGALP00010040143.1;bGymCal|ENSGALT00010020070.1;bGypBar|ENSGALT00010020070.2;bGypBar|ENSGALT00010060560.50;bGypHim|ENSGALT00010020070.4;bVulGry|ENSGALT00010020070.1;bVulGry|ENSGALT00010060560.37;bVulGry|ENSGALT00010065874.14
cluster504	10	Q9JIZ0	GO:0010628; P:positive regulation of gene expression; ISO:MGI	bGalGal|ENSGALP00010024601.1;bGalGal|ENSGALP00010024611.1;bGalGal|ENSGALP00010024796.1;bGalGal|ENSGALP00010025089.1;bGymCal|ENSGALT00010042599.5;bGypBar|ENSGALT00010042024.4;bGypBar|ENSGALT00010042304.4;bGypHim|ENSGALT00010042289.610;bVulGry|ENSGALT00010042024.5;bVulGry|ENSGALT00010042304.5
cluster513	10	P51589	GO:0006805; P:xenobiotic metabolic process; IBA:GO_Central	bGalGal|ENSGALP00010025748.1;bGalGal|ENSGALP00010025758.1;bGalGal|ENSGALP00010025768.1;bGalGal|ENSGALP00010027470.1;bGymCal|ENSGALT00010043320.9;bGypBar|ENSGALT00010043320.14;bGypBar|ENSGALT00010046081.14;bGypHim|ENSGALT00010043320.51;bVulGry|ENSGALT00010043320.9;bVulGry|ENSGALT00010046081.9
cluster566	9	Q8TE73	GO:0036158; P:outer dynein arm assembly; IMP:SYSCILIA_CCNET	bGalGal|ENSGALP00010000612.1;bGalGal|ENSGALP00010011087.1;bGalGal|ENSGALP00010030605.1;bGymCal|ENSGALT00010001241.2;bGypBar|ENSGALT00010001241.13;bGypBar|ENSGALT00010019539.1;bGypHim|ENSGALT00010019528.125;bVulGry|ENSGALT00010001241.2;bVulGry|ENSGALT00010019539.2
cluster593	9	Q9WVA4	GO:0030855; P:epithelial cell differentiation; ISO:MGI	bGalGal|ENSGALP00010006112.1;bGalGal|ENSGALP00010034028.1;bGalGal|ENSGALP00010042773.1;bGymCal|ENSGALT00010010490.1;bGypBar|ENSGALT00010010490.6;bGypBar|ENSGALT00010069444.144;bGypHim|ENSGALT00010010490.7;bVulGry|ENSGALT00010010490.1;bVulGry|ENSGALT00010069444.116
cluster650	9	Q6ZVN8	GO:0016540; P:protein autoprocessing; IMP:BHF-UCL	bGalGal|ENSGALP00010017993.1;bGalGal|ENSGALP00010026789.1;bGalGal|ENSGALP00010040890.1;bGymCal|ENSGALT00010066818.224;bGypBar|ENSGALT00010030968.32;bGypBar|ENSGALT00010066818.162;bGypHim|ENSGALT00010030968.485;bVulGry|ENSGALT00010044870.11;bVulGry|ENSGALT00010066818.127
cluster717	8	Q9BR39	GO:0060314; P:regulation of ryanodine-sensitive calcium-release channel activity; TAS:BHF-UCL	bGalGal|ENSGALP00010000101.1;bGalGal|ENSGALP00010000102.1;bGalGal|ENSGALP00010000109.1;bGalGal|ENSGALP00010000559.1;bGalGal|ENSGALP00010034663.1;bGypBar|ENSGALT00010057000.30;bGypHim|ENSGALT00010057000.149;bVulGry|ENSGALT00010057000.19
cluster727	8	P55803	GO:0050852; P:T cell receptor signaling pathway; IBA:GO_Central	bGalGal|ENSGALP00010002271.1;bGalGal|ENSGALP00010003647.1;bGalGal|ENSGALP00010003682.1;bGalGal|ENSGALP00010003703.1;bGalGal|ENSGALP00010003714.1;bGalGal|ENSGALP00010004169.1;bGalGal|ENSGALP00010005166.1;bVulGry|ENSGALT00010003972.-1
cluster744	8	O75051	GO:0001756; P:somitogenesis; IEA:Ensembl	bGalGal|ENSGALP00010007217.1;bGalGal|ENSGALP00010032527.1;bGalGal|ENSGALP00010040188.1;bGymCal|ENSGALT00010012653.1;bGypBar|ENSGALT00010012653.2;bGypBar|ENSGALT00010065922.50;bVulGry|ENSGALT00010012653.1;bVulGry|ENSGALT00010065922.37
