# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster3	53	P21328	GO:0003964; F:RNA-directed DNA polymerase activity; IEA:UniProtKB-KW	bGalGal|ENSGALP00010000966.1;bGalGal|ENSGALP00010001418.1;bGalGal|ENSGALP00010001455.1;bGalGal|ENSGALP00010001849.1;bGalGal|ENSGALP00010001976.1;bGalGal|ENSGALP00010003634.1;bGalGal|ENSGALP00010004067.1;bGalGal|ENSGALP00010005257.1;bGalGal|ENSGALP00010005692.1;bGalGal|ENSGALP00010006146.1;bGalGal|ENSGALP00010008325.1;bGalGal|ENSGALP00010009130.1;bGalGal|ENSGALP00010009163.1;bGalGal|ENSGALP00010009334.1;bGalGal|ENSGALP00010009929.1;bGalGal|ENSGALP00010010665.1;bGalGal|ENSGALP00010010726.1;bGalGal|ENSGALP00010010784.1;bGalGal|ENSGALP00010011171.1;bGalGal|ENSGALP00010011322.1;bGalGal|ENSGALP00010011406.1;bGalGal|ENSGALP00010011667.1;bGalGal|ENSGALP00010011742.1;bGalGal|ENSGALP00010011853.1;bGalGal|ENSGALP00010012551.1;bGalGal|ENSGALP00010014057.1;bGalGal|ENSGALP00010014232.1;bGalGal|ENSGALP00010014254.1;bGalGal|ENSGALP00010015290.1;bGalGal|ENSGALP00010015895.1;bGalGal|ENSGALP00010016882.1;bGalGal|ENSGALP00010017013.1;bGalGal|ENSGALP00010017402.1;bGalGal|ENSGALP00010017700.1;bGalGal|ENSGALP00010017812.1;bGalGal|ENSGALP00010017867.1;bGalGal|ENSGALP00010018545.1;bGalGal|ENSGALP00010019116.1;bGalGal|ENSGALP00010021369.1;bGalGal|ENSGALP00010022154.1;bGalGal|ENSGALP00010022526.1;bGalGal|ENSGALP00010027587.1;bGalGal|ENSGALP00010027779.1;bGalGal|ENSGALP00010027872.1;bGalGal|ENSGALP00010028765.1;bGalGal|ENSGALP00010032879.1;bGalGal|ENSGALP00010032965.1;bGalGal|ENSGALP00010033345.1;bGalGal|ENSGALP00010034685.1;bGalGal|ENSGALP00010036045.1;bGalGal|ENSGALP00010036989.1;bGalGal|ENSGALP00010037011.1;bGymCal|ENSGALT00010029118.1344
cluster5	50	A6ND48	GO:0007608; P:sensory perception of smell; IBA:GO_Central	bGalGal|ENSGALP00010001452.1;bGalGal|ENSGALP00010001502.1;bGalGal|ENSGALP00010001519.1;bGalGal|ENSGALP00010001535.1;bGalGal|ENSGALP00010001538.1;bGalGal|ENSGALP00010001570.1;bGalGal|ENSGALP00010001624.1;bGalGal|ENSGALP00010001689.1;bGalGal|ENSGALP00010001692.1;bGalGal|ENSGALP00010001800.1;bGalGal|ENSGALP00010001819.1;bGalGal|ENSGALP00010001831.1;bGalGal|ENSGALP00010001851.1;bGalGal|ENSGALP00010001889.1;bGalGal|ENSGALP00010001930.1;bGalGal|ENSGALP00010001939.1;bGalGal|ENSGALP00010001948.1;bGalGal|ENSGALP00010001953.1;bGalGal|ENSGALP00010001970.1;bGalGal|ENSGALP00010002050.1;bGalGal|ENSGALP00010002084.1;bGalGal|ENSGALP00010002095.1;bGalGal|ENSGALP00010002103.1;bGalGal|ENSGALP00010002118.1;bGalGal|ENSGALP00010002159.1;bGalGal|ENSGALP00010002176.1;bGalGal|ENSGALP00010002246.1;bGalGal|ENSGALP00010002249.1;bGalGal|ENSGALP00010002255.1;bGalGal|ENSGALP00010002263.1;bGalGal|ENSGALP00010002272.1;bGalGal|ENSGALP00010002280.1;bGalGal|ENSGALP00010002313.1;bGalGal|ENSGALP00010002329.1;bGalGal|ENSGALP00010002360.1;bGalGal|ENSGALP00010002417.1;bGalGal|ENSGALP00010002427.1;bGalGal|ENSGALP00010002448.1;bGalGal|ENSGALP00010002492.1;bGalGal|ENSGALP00010002514.1;bGalGal|ENSGALP00010002527.1;bGalGal|ENSGALP00010002533.1;bGalGal|ENSGALP00010002558.1;bGalGal|ENSGALP00010002607.1;bGymCal|ENSGALT00010002906.1512;bGymCal|ENSGALT00010002989.338;bGymCal|ENSGALT00010003488.191;bGypBar|ENSGALT00010003225.1407;bGypBar|ENSGALT00010004230.1448;bVulGry|ENSGALT00010003232.15794
cluster6	49	P02450	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010011926.1;bGalGal|ENSGALP00010011942.1;bGalGal|ENSGALP00010011952.1;bGalGal|ENSGALP00010011958.1;bGalGal|ENSGALP00010011974.1;bGalGal|ENSGALP00010011990.1;bGalGal|ENSGALP00010012000.1;bGalGal|ENSGALP00010012018.1;bGalGal|ENSGALP00010013199.1;bGalGal|ENSGALP00010013200.1;bGalGal|ENSGALP00010013214.1;bGalGal|ENSGALP00010013245.1;bGalGal|ENSGALP00010013263.1;bGalGal|ENSGALP00010013277.1;bGalGal|ENSGALP00010013281.1;bGalGal|ENSGALP00010013284.1;bGalGal|ENSGALP00010013294.1;bGalGal|ENSGALP00010013299.1;bGalGal|ENSGALP00010013312.1;bGalGal|ENSGALP00010013339.1;bGalGal|ENSGALP00010013356.1;bGalGal|ENSGALP00010013366.1;bGymCal|ENSGALT00010063047.4384;bGymCal|ENSGALT00010063047.6105;bGymCal|ENSGALT00010069169.16574;bGymCal|ENSGALT00010069169.23495;bGypBar|ENSGALT00010020602.1170;bGypBar|ENSGALT00010020602.1565;bGypBar|ENSGALT00010020602.2085;bGypBar|ENSGALT00010020602.2216;bGypBar|ENSGALT00010020602.2719;bGypBar|ENSGALT00010020602.2723;bGypBar|ENSGALT00010020602.2892;bGypBar|ENSGALT00010020602.2897;bGypBar|ENSGALT00010020602.2905;bGypBar|ENSGALT00010020602.4279;bGypBar|ENSGALT00010020602.4348;bGypBar|ENSGALT00010020602.5637;bGypBar|ENSGALT00010020602.6096;bGypBar|ENSGALT00010020602.660;bGypBar|ENSGALT00010020602.9498;bGypBar|ENSGALT00010020602.970;bGypBar|ENSGALT00010020817.23901;bGypBar|ENSGALT00010023019.660;bGypHim|ENSGALT00010020602.43065;bGypHim|ENSGALT00010020602.46407;bGypHim|ENSGALT00010020686.33780;bGypHim|ENSGALT00010069154.28956;bGypHim|ENSGALT00010069165.23331
cluster8	48	O13152	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010011646.1;bGalGal|ENSGALP00010011654.1;bGalGal|ENSGALP00010011661.1;bGalGal|ENSGALP00010011670.1;bGalGal|ENSGALP00010011688.1;bGalGal|ENSGALP00010011863.1;bGalGal|ENSGALP00010011866.1;bGalGal|ENSGALP00010011940.1;bGalGal|ENSGALP00010015207.1;bGymCal|ENSGALT00010001048.65956;bGymCal|ENSGALT00010001048.81394;bGymCal|ENSGALT00010020098.39868;bGymCal|ENSGALT00010020098.8436;bGymCal|ENSGALT00010020098.8438;bGymCal|ENSGALT00010020098.8469;bGymCal|ENSGALT00010020098.8470;bGymCal|ENSGALT00010020098.8489;bGymCal|ENSGALT00010020098.9244;bGymCal|ENSGALT00010026656.41458;bGymCal|ENSGALT00010069188.121784;bGypBar|ENSGALT00010020098.1380;bGypBar|ENSGALT00010020098.1779;bGypBar|ENSGALT00010020098.1785;bGypBar|ENSGALT00010020098.2118;bGypBar|ENSGALT00010020098.2367;bGypBar|ENSGALT00010020098.3304;bGypBar|ENSGALT00010020098.3325;bGypBar|ENSGALT00010020098.377;bGypBar|ENSGALT00010020098.4384;bGypBar|ENSGALT00010020098.462;bGypBar|ENSGALT00010020098.501;bGypBar|ENSGALT00010020098.559;bGypBar|ENSGALT00010020098.679;bGypBar|ENSGALT00010020098.873;bGypHim|ENSGALT00010020098.1047;bGypHim|ENSGALT00010020098.1055;bGypHim|ENSGALT00010020098.1081;bGypHim|ENSGALT00010020098.1138;bGypHim|ENSGALT00010020098.1212;bGypHim|ENSGALT00010020098.1323;bGypHim|ENSGALT00010020098.1414;bGypHim|ENSGALT00010020098.1676;bGypHim|ENSGALT00010020098.1925;bGypHim|ENSGALT00010020098.1949;bGypHim|ENSGALT00010020098.974;bGypHim|ENSGALT00010020098.975;bGypHim|ENSGALT00010020098.984;bGypHim|ENSGALT00010020122.984
cluster10	44	Q920L3	GO:0006511; P:ubiquitin-dependent protein catabolic process; ISS:UniProtKB	bGalGal|ENSGALP00010004159.1;bGalGal|ENSGALP00010008373.1;bGalGal|ENSGALP00010017053.1;bGalGal|ENSGALP00010017083.1;bGalGal|ENSGALP00010017212.1;bGalGal|ENSGALP00010017220.1;bGalGal|ENSGALP00010017239.1;bGalGal|ENSGALP00010017251.1;bGalGal|ENSGALP00010017261.1;bGalGal|ENSGALP00010017276.1;bGalGal|ENSGALP00010017281.1;bGymCal|ENSGALT00010006820.37668;bGymCal|ENSGALT00010014264.64850;bGymCal|ENSGALT00010014264.66684;bGymCal|ENSGALT00010014904.136462;bGymCal|ENSGALT00010014904.25772;bGymCal|ENSGALT00010014904.33384;bGymCal|ENSGALT00010014904.34664;bGymCal|ENSGALT00010014904.41900;bGymCal|ENSGALT00010014904.45039;bGymCal|ENSGALT00010014904.78465;bGymCal|ENSGALT00010014904.78570;bGymCal|ENSGALT00010026706.36484;bGymCal|ENSGALT00010028578.57381;bGymCal|ENSGALT00010029366.10333;bGymCal|ENSGALT00010029591.117902;bGymCal|ENSGALT00010029591.56957;bGymCal|ENSGALT00010029591.64027;bGypBar|ENSGALT00010014264.38441;bGypBar|ENSGALT00010029366.16555;bGypBar|ENSGALT00010029366.25428;bGypBar|ENSGALT00010029408.7014;bGypBar|ENSGALT00010029591.117463;bGypBar|ENSGALT00010029591.43960;bGypBar|ENSGALT00010029591.44220;bGypBar|ENSGALT00010029591.44523;bGypBar|ENSGALT00010029591.80844;bGypBar|ENSGALT00010029630.63675;bGypBar|ENSGALT00010029647.1497;bGypHim|ENSGALT00010014264.41860;bGypHim|ENSGALT00010014264.46082;bGypHim|ENSGALT00010014264.49495;bGypHim|ENSGALT00010029408.4395;bGypHim|ENSGALT00010029591.45536
cluster12	43	P04459	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010042518.1;bGalGal|ENSGALP00010042519.1;bGalGal|ENSGALP00010042521.1;bGalGal|ENSGALP00010042525.1;bGalGal|ENSGALP00010042526.1;bGalGal|ENSGALP00010042534.1;bGalGal|ENSGALP00010042535.1;bGalGal|ENSGALP00010042871.1;bGalGal|ENSGALP00010042872.1;bGalGal|ENSGALP00010042873.1;bGalGal|ENSGALP00010042877.1;bGalGal|ENSGALP00010042882.1;bGalGal|ENSGALP00010042886.1;bGalGal|ENSGALP00010042888.1;bGalGal|ENSGALP00010042889.1;bGalGal|ENSGALP00010042890.1;bGalGal|ENSGALP00010042894.1;bGalGal|ENSGALP00010042895.1;bGalGal|ENSGALP00010042898.1;bGymCal|ENSGALT00010001048.5633;bGymCal|ENSGALT00010069045.1974;bGymCal|ENSGALT00010069076.98;bGymCal|ENSGALT00010069079.12375;bGymCal|ENSGALT00010069083.2641;bGypBar|ENSGALT00010069045.609;bGypBar|ENSGALT00010069073.107;bGypBar|ENSGALT00010069073.2390;bGypBar|ENSGALT00010069073.466;bGypBar|ENSGALT00010069073.819;bGypBar|ENSGALT00010069073.9105;bGypBar|ENSGALT00010069076.1105;bGypBar|ENSGALT00010069076.456;bGypBar|ENSGALT00010069076.609;bGypBar|ENSGALT00010069076.663;bGypBar|ENSGALT00010069076.677;bGypBar|ENSGALT00010069076.819;bGypBar|ENSGALT00010069076.836;bGypBar|ENSGALT00010069076.86;bGypBar|ENSGALT00010069076.929;bGypBar|ENSGALT00010069077.456;bGypBar|ENSGALT00010069077.609;bGypHim|ENSGALT00010001058.9670;bGypHim|ENSGALT00010069073.1264
cluster18	34	P28990	GO:0039548; P:suppression by virus of host IRF3 activity; IEA:UniProtKB-KW	bGalGal|ENSGALP00010008773.1;bGalGal|ENSGALP00010015221.1;bGalGal|ENSGALP00010015235.1;bGalGal|ENSGALP00010015245.1;bGalGal|ENSGALP00010015262.1;bGalGal|ENSGALP00010019083.1;bGymCal|ENSGALT00010006820.70277;bGymCal|ENSGALT00010014264.80929;bGymCal|ENSGALT00010014264.81168;bGymCal|ENSGALT00010014264.82476;bGymCal|ENSGALT00010014264.82492;bGymCal|ENSGALT00010014904.61605;bGymCal|ENSGALT00010026684.77487;bGymCal|ENSGALT00010029366.6882;bGymCal|ENSGALT00010029591.91062;bGymCal|ENSGALT00010029601.146453;bGypBar|ENSGALT00010014264.101802;bGypBar|ENSGALT00010014264.59302;bGypBar|ENSGALT00010014264.65543;bGypBar|ENSGALT00010014264.66519;bGypBar|ENSGALT00010014904.128;bGypBar|ENSGALT00010014904.67524;bGypBar|ENSGALT00010026684.15978;bGypHim|ENSGALT00010014264.88944;bGypHim|ENSGALT00010014264.90511;bGypHim|ENSGALT00010014264.90785;bGypHim|ENSGALT00010014904.21798;bGypHim|ENSGALT00010014904.23318;bGypHim|ENSGALT00010014904.25108;bGypHim|ENSGALT00010014904.29108;bGypHim|ENSGALT00010014904.38452;bGypHim|ENSGALT00010014904.45907;bGypHim|ENSGALT00010026684.114264;bVulGry|ENSGALT00010028578.74710
cluster19	34	P16383	GO:0000245; P:spliceosomal complex assembly; IMP:UniProtKB	bGalGal|ENSGALP00010011292.1;bGalGal|ENSGALP00010011298.1;bGalGal|ENSGALP00010011325.1;bGalGal|ENSGALP00010011345.1;bGalGal|ENSGALP00010011405.1;bGalGal|ENSGALP00010011409.1;bGalGal|ENSGALP00010011432.1;bGalGal|ENSGALP00010011524.1;bGalGal|ENSGALP00010011551.1;bGalGal|ENSGALP00010011574.1;bGalGal|ENSGALP00010011620.1;bGalGal|ENSGALP00010011641.1;bGalGal|ENSGALP00010011683.1;bGalGal|ENSGALP00010011696.1;bGalGal|ENSGALP00010011719.1;bGalGal|ENSGALP00010011729.1;bGalGal|ENSGALP00010011760.1;bGalGal|ENSGALP00010011787.1;bGalGal|ENSGALP00010011837.1;bGalGal|ENSGALP00010011846.1;bGalGal|ENSGALP00010011883.1;bGalGal|ENSGALP00010011941.1;bGalGal|ENSGALP00010011945.1;bGalGal|ENSGALP00010011966.1;bGalGal|ENSGALP00010011984.1;bGalGal|ENSGALP00010011998.1;bGalGal|ENSGALP00010012017.1;bGalGal|ENSGALP00010012034.1;bGalGal|ENSGALP00010012052.1;bGalGal|ENSGALP00010012076.1;bGalGal|ENSGALP00010012082.1;bGymCal|ENSGALT00010020347.2564;bGypBar|ENSGALT00010020347.1548;bGypHim|ENSGALT00010020351.-1
cluster23	31	A0A0B4J1V1	GO:0050871; P:positive regulation of B cell activation; IBA:GO_Central	bGalGal|ENSGALP00010005007.1;bGalGal|ENSGALP00010005111.1;bGalGal|ENSGALP00010005116.1;bGymCal|ENSGALT00010008212.1448;bGymCal|ENSGALT00010008429.25306;bGymCal|ENSGALT00010008429.29595;bGymCal|ENSGALT00010008433.7911;bGymCal|ENSGALT00010008466.5439;bGymCal|ENSGALT00010008466.7954;bGymCal|ENSGALT00010008565.4158;bGymCal|ENSGALT00010008610.17516;bGypBar|ENSGALT00010008076.4007;bGypBar|ENSGALT00010008431.2599;bGypBar|ENSGALT00010008466.1277;bGypBar|ENSGALT00010008520.18939;bGypBar|ENSGALT00010008520.7036;bGypBar|ENSGALT00010008622.7096;bGypBar|ENSGALT00010008740.373;bGypHim|ENSGALT00010008076.14947;bGypHim|ENSGALT00010008076.9751;bGypHim|ENSGALT00010008324.9751;bGypHim|ENSGALT00010008431.3768;bGypHim|ENSGALT00010008431.6811;bGypHim|ENSGALT00010008466.3951;bGypHim|ENSGALT00010008552.2379;bGypHim|ENSGALT00010008610.10508;bVulGry|ENSGALT00010008230.213;bVulGry|ENSGALT00010008565.2165;bVulGry|ENSGALT00010008610.4344;bVulGry|ENSGALT00010008610.7278;bVulGry|ENSGALT00010008622.7278
cluster27	29	C0HL66	GO:0007140; P:male meiotic nuclear division; IGI:FlyBase	bGalGal|ENSGALP00010011211.1;bGalGal|ENSGALP00010016931.1;bGalGal|ENSGALP00010017063.1;bGalGal|ENSGALP00010017077.1;bGalGal|ENSGALP00010017166.1;bGalGal|ENSGALP00010019354.1;bGymCal|ENSGALT00010029191.1;bGymCal|ENSGALT00010029191.10682;bGymCal|ENSGALT00010029191.1928;bGymCal|ENSGALT00010029379.1;bGymCal|ENSGALT00010029395.1;bGymCal|ENSGALT00010029534.1;bGymCal|ENSGALT00010029534.2594;bGypBar|ENSGALT00010019662.131;bGypBar|ENSGALT00010029191.1001;bGypBar|ENSGALT00010029191.1149;bGypBar|ENSGALT00010029191.23;bGypBar|ENSGALT00010029379.23;bGypBar|ENSGALT00010029400.3732;bGypBar|ENSGALT00010029534.1359;bGypBar|ENSGALT00010029534.23;bGypHim|ENSGALT00010029191.1505;bGypHim|ENSGALT00010029191.226;bGypHim|ENSGALT00010029379.226;bGypHim|ENSGALT00010029395.1290;bGypHim|ENSGALT00010029395.2159;bGypHim|ENSGALT00010029400.2668;bGypHim|ENSGALT00010029534.1666;bVulGry|ENSGALT00010019662.149
