# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster3	53	P21328	GO:0003964; F:RNA-directed DNA polymerase activity; IEA:UniProtKB-KW	bGalGal|ENSGALP00010000966.1;bGalGal|ENSGALP00010001418.1;bGalGal|ENSGALP00010001455.1;bGalGal|ENSGALP00010001849.1;bGalGal|ENSGALP00010001976.1;bGalGal|ENSGALP00010003634.1;bGalGal|ENSGALP00010004067.1;bGalGal|ENSGALP00010005257.1;bGalGal|ENSGALP00010005692.1;bGalGal|ENSGALP00010006146.1;bGalGal|ENSGALP00010008325.1;bGalGal|ENSGALP00010009130.1;bGalGal|ENSGALP00010009163.1;bGalGal|ENSGALP00010009334.1;bGalGal|ENSGALP00010009929.1;bGalGal|ENSGALP00010010665.1;bGalGal|ENSGALP00010010726.1;bGalGal|ENSGALP00010010784.1;bGalGal|ENSGALP00010011171.1;bGalGal|ENSGALP00010011322.1;bGalGal|ENSGALP00010011406.1;bGalGal|ENSGALP00010011667.1;bGalGal|ENSGALP00010011742.1;bGalGal|ENSGALP00010011853.1;bGalGal|ENSGALP00010012551.1;bGalGal|ENSGALP00010014057.1;bGalGal|ENSGALP00010014232.1;bGalGal|ENSGALP00010014254.1;bGalGal|ENSGALP00010015290.1;bGalGal|ENSGALP00010015895.1;bGalGal|ENSGALP00010016882.1;bGalGal|ENSGALP00010017013.1;bGalGal|ENSGALP00010017402.1;bGalGal|ENSGALP00010017700.1;bGalGal|ENSGALP00010017812.1;bGalGal|ENSGALP00010017867.1;bGalGal|ENSGALP00010018545.1;bGalGal|ENSGALP00010019116.1;bGalGal|ENSGALP00010021369.1;bGalGal|ENSGALP00010022154.1;bGalGal|ENSGALP00010022526.1;bGalGal|ENSGALP00010027587.1;bGalGal|ENSGALP00010027779.1;bGalGal|ENSGALP00010027872.1;bGalGal|ENSGALP00010028765.1;bGalGal|ENSGALP00010032879.1;bGalGal|ENSGALP00010032965.1;bGalGal|ENSGALP00010033345.1;bGalGal|ENSGALP00010034685.1;bGalGal|ENSGALP00010036045.1;bGalGal|ENSGALP00010036989.1;bGalGal|ENSGALP00010037011.1;bGymCal|ENSGALT00010029118.1344
cluster5	50	A6ND48	GO:0007608; P:sensory perception of smell; IBA:GO_Central	bGalGal|ENSGALP00010001452.1;bGalGal|ENSGALP00010001502.1;bGalGal|ENSGALP00010001519.1;bGalGal|ENSGALP00010001535.1;bGalGal|ENSGALP00010001538.1;bGalGal|ENSGALP00010001570.1;bGalGal|ENSGALP00010001624.1;bGalGal|ENSGALP00010001689.1;bGalGal|ENSGALP00010001692.1;bGalGal|ENSGALP00010001800.1;bGalGal|ENSGALP00010001819.1;bGalGal|ENSGALP00010001831.1;bGalGal|ENSGALP00010001851.1;bGalGal|ENSGALP00010001889.1;bGalGal|ENSGALP00010001930.1;bGalGal|ENSGALP00010001939.1;bGalGal|ENSGALP00010001948.1;bGalGal|ENSGALP00010001953.1;bGalGal|ENSGALP00010001970.1;bGalGal|ENSGALP00010002050.1;bGalGal|ENSGALP00010002084.1;bGalGal|ENSGALP00010002095.1;bGalGal|ENSGALP00010002103.1;bGalGal|ENSGALP00010002118.1;bGalGal|ENSGALP00010002159.1;bGalGal|ENSGALP00010002176.1;bGalGal|ENSGALP00010002246.1;bGalGal|ENSGALP00010002249.1;bGalGal|ENSGALP00010002255.1;bGalGal|ENSGALP00010002263.1;bGalGal|ENSGALP00010002272.1;bGalGal|ENSGALP00010002280.1;bGalGal|ENSGALP00010002313.1;bGalGal|ENSGALP00010002329.1;bGalGal|ENSGALP00010002360.1;bGalGal|ENSGALP00010002417.1;bGalGal|ENSGALP00010002427.1;bGalGal|ENSGALP00010002448.1;bGalGal|ENSGALP00010002492.1;bGalGal|ENSGALP00010002514.1;bGalGal|ENSGALP00010002527.1;bGalGal|ENSGALP00010002533.1;bGalGal|ENSGALP00010002558.1;bGalGal|ENSGALP00010002607.1;bGymCal|ENSGALT00010002906.1512;bGymCal|ENSGALT00010002989.338;bGymCal|ENSGALT00010003488.191;bGypBar|ENSGALT00010003225.1407;bGypBar|ENSGALT00010004230.1448;bVulGry|ENSGALT00010003232.15794
cluster54	21	Q8BKT3	GO:0000245; P:spliceosomal complex assembly; ISS:UniProtKB	bGalGal|ENSGALP00010001292.1;bGalGal|ENSGALP00010001298.1;bGalGal|ENSGALP00010011256.1;bGalGal|ENSGALP00010011270.1;bGalGal|ENSGALP00010011283.1;bGalGal|ENSGALP00010011365.1;bGalGal|ENSGALP00010011388.1;bGalGal|ENSGALP00010011466.1;bGalGal|ENSGALP00010011486.1;bGalGal|ENSGALP00010011547.1;bGalGal|ENSGALP00010011563.1;bGalGal|ENSGALP00010011599.1;bGalGal|ENSGALP00010011750.1;bGalGal|ENSGALP00010011766.1;bGalGal|ENSGALP00010011806.1;bGalGal|ENSGALP00010011871.1;bGalGal|ENSGALP00010011911.1;bGalGal|ENSGALP00010011930.1;bGalGal|ENSGALP00010011956.1;bGalGal|ENSGALP00010012071.1;bVulGry|ENSGALT00010020050.417
cluster69	19	Q9BQE3	GO:0000278; P:mitotic cell cycle; IBA:GO_Central	bGalGal|ENSGALP00010001121.1;bGalGal|ENSGALP00010009326.1;bGalGal|ENSGALP00010009974.1;bGalGal|ENSGALP00010014624.1;bGalGal|ENSGALP00010017518.1;bGalGal|ENSGALP00010017522.1;bGalGal|ENSGALP00010030908.1;bGalGal|ENSGALP00010032590.1;bGalGal|ENSGALP00010037018.1;bGalGal|ENSGALP00010037037.1;bGalGal|ENSGALP00010039060.1;bGalGal|ENSGALP00010039196.1;bGymCal|ENSGALT00010002571.9;bGymCal|ENSGALT00010016385.1;bGymCal|ENSGALT00010030167.1;bGymCal|ENSGALT00010030178.1;bGymCal|ENSGALT00010063501.38;bVulGry|ENSGALT00010002571.9;bVulGry|ENSGALT00010063501.37
cluster101	16	Q8NHC7	GO:0007608; P:sensory perception of smell; IBA:GO_Central	bGalGal|ENSGALP00010001459.1;bGalGal|ENSGALP00010001682.1;bGymCal|ENSGALT00010002906.5059;bGymCal|ENSGALT00010002913.1238;bGymCal|ENSGALT00010002913.12490;bGymCal|ENSGALT00010002913.13617;bGymCal|ENSGALT00010002913.3867;bGymCal|ENSGALT00010002913.6179;bGymCal|ENSGALT00010002913.794;bGymCal|ENSGALT00010002913.9448;bGymCal|ENSGALT00010003225.149;bGymCal|ENSGALT00010004236.1426;bGypHim|ENSGALT00010003408.37406;bVulGry|ENSGALT00010002913.20354;bVulGry|ENSGALT00010002913.2922;bVulGry|ENSGALT00010003866.878
cluster219	12	Q9UH99	GO:0030335; P:positive regulation of cell migration; ISS:UniProtKB	bGalGal|ENSGALP00010004583.1;bGalGal|ENSGALP00010004654.1;bGalGal|ENSGALP00010005996.1;bGalGal|ENSGALP00010040452.1;bGymCal|ENSGALT00010007652.12973;bGymCal|ENSGALT00010007652.1786;bGymCal|ENSGALT00010007652.2258;bGymCal|ENSGALT00010007652.2453;bGymCal|ENSGALT00010007741.23117;bGymCal|ENSGALT00010007741.23279;bGymCal|ENSGALT00010018590.58644;bGymCal|ENSGALT00010018590.88680
cluster223	12	N/A	N/A	bGalGal|ENSGALP00010007193.1;bGalGal|ENSGALP00010007211.1;bGalGal|ENSGALP00010009404.1;bGalGal|ENSGALP00010009418.1;bGalGal|ENSGALP00010009423.1;bGalGal|ENSGALP00010009456.1;bGalGal|ENSGALP00010009965.1;bGalGal|ENSGALP00010009967.1;bGalGal|ENSGALP00010009969.1;bGymCal|ENSGALT00010016628.11654;bGymCal|ENSGALT00010016628.18169;bGymCal|ENSGALT00010016628.5457
cluster628	9	Q96T71	GO:0006355; P:regulation of transcription, DNA-templated; IEA:InterPro	bGalGal|ENSGALP00010013909.1;bGalGal|ENSGALP00010029839.1;bGymCal|ENSGALT00010024505.101;bGymCal|ENSGALT00010024509.6;bGymCal|ENSGALT00010050548.11;bGypBar|ENSGALT00010050548.16;bGypHim|ENSGALT00010050548.58;bVulGry|ENSGALT00010024509.6;bVulGry|ENSGALT00010050548.11
cluster727	8	P55803	GO:0050852; P:T cell receptor signaling pathway; IBA:GO_Central	bGalGal|ENSGALP00010002271.1;bGalGal|ENSGALP00010003647.1;bGalGal|ENSGALP00010003682.1;bGalGal|ENSGALP00010003703.1;bGalGal|ENSGALP00010003714.1;bGalGal|ENSGALP00010004169.1;bGalGal|ENSGALP00010005166.1;bVulGry|ENSGALT00010003972.-1
cluster920	7	Q32KY7	GO:0016973; P:poly(A)+ mRNA export from nucleus; IBA:GO_Central	bGalGal|ENSGALP00010015495.1;bGymCal|ENSGALT00010027212.1;bGymCal|ENSGALT00010027212.2567;bGymCal|ENSGALT00010027212.2818;bGymCal|ENSGALT00010027212.2861;bGymCal|ENSGALT00010027212.3578;bGymCal|ENSGALT00010027212.7262
cluster1028	6	Q92794	GO:1901796; P:regulation of signal transduction by p53 class mediator; TAS:Reactome	bGalGal|ENSGALP00010000677.1;bGalGal|ENSGALP00010001520.1;bGalGal|ENSGALP00010025706.1;bGalGal|ENSGALP00010035984.1;bGymCal|ENSGALT00010043259.43;bVulGry|ENSGALT00010043259.40
cluster1160	6	Q8N398	N/A	bGalGal|ENSGALP00010007175.1;bGalGal|ENSGALP00010021059.1;bGalGal|ENSGALP00010029744.1;bGymCal|ENSGALT00010036228.9;bVulGry|ENSGALT00010036228.14661;bVulGry|ENSGALT00010036228.9
cluster1360	6	P11032	GO:0009617; P:response to bacterium; IEP:MGI	bGalGal|ENSGALP00010021124.1;bGalGal|ENSGALP00010021163.1;bGalGal|ENSGALP00010040629.1;bGalGal|ENSGALP00010040736.1;bGymCal|ENSGALT00010036376.6;bVulGry|ENSGALT00010036376.6
cluster1526	5	O15016	GO:0045892; P:negative regulation of transcription, DNA-templated; IBA:GO_Central	bGalGal|ENSGALP00010000176.1;bGalGal|ENSGALP00010029425.1;bGalGal|ENSGALP00010038467.1;bGymCal|ENSGALT00010049795.4;bVulGry|ENSGALT00010049795.4
cluster1936	5	Q9TT13	GO:1902017; P:regulation of cilium assembly; IEA:InterPro	bGalGal|ENSGALP00010003199.1;bGalGal|ENSGALP00010011353.1;bGalGal|ENSGALP00010025884.1;bGymCal|ENSGALT00010043527.43;bVulGry|ENSGALT00010043527.40
cluster2307	5	Q8N3Y7	GO:0042572; P:retinol metabolic process; IDA:UniProtKB	bGalGal|ENSGALP00010005475.1;bGalGal|ENSGALP00010005483.1;bGymCal|ENSGALT00010009271.2;bVulGry|ENSGALT00010009257.2;bVulGry|ENSGALT00010009271.2
cluster2308	5	O43193	GO:0007186; P:G protein-coupled receptor signaling pathway; TAS:Reactome	bGalGal|ENSGALP00010005472.1;bGalGal|ENSGALP00010026793.1;bGalGal|ENSGALP00010031154.1;bGymCal|ENSGALT00010009256.1;bVulGry|ENSGALT00010009256.1
cluster2789	5	Q9NT76	GO:0007165; P:signal transduction; IEA:InterPro	bGalGal|ENSGALP00010008126.1;bGalGal|ENSGALP00010012866.1;bGalGal|ENSGALP00010034852.1;bGymCal|ENSGALT00010013735.2;bVulGry|ENSGALT00010013735.2
cluster4240	5	Q8N4U5	N/A	bGalGal|ENSGALP00010016345.1;bGalGal|ENSGALP00010033241.1;bGalGal|ENSGALP00010039047.1;bGymCal|ENSGALT00010028493.1;bVulGry|ENSGALT00010028493.1
cluster4971	5	Q99062	GO:0007165; P:signal transduction; NAS:ProtInc	bGalGal|ENSGALP00010020560.1;bGalGal|ENSGALP00010034402.1;bGalGal|ENSGALP00010034428.1;bGymCal|ENSGALT00010035318.44;bVulGry|ENSGALT00010035318.44
cluster9458	4	Q8WVV5	GO:0050852; P:T cell receptor signaling pathway; IBA:GO_Central	bGalGal|ENSGALP00010003990.1;bGalGal|ENSGALP00010041119.1;bGalGal|ENSGALP00010041142.1;bVulGry|ENSGALT00010067212.82
cluster9765	4	O70437	GO:0042060; P:wound healing; IMP:RGD	bGalGal|ENSGALP00010012877.1;bGalGal|ENSGALP00010016770.1;bGalGal|ENSGALP00010042049.1;bVulGry|ENSGALT00010068308.72
cluster9859	4	Q9NVE5	GO:0006511; P:ubiquitin-dependent protein catabolic process; IEA:InterPro	bGalGal|ENSGALP00010015160.1;bGymCal|ENSGALT00010026581.28;bGymCal|ENSGALT00010026597.631;bVulGry|ENSGALT00010026581.28
cluster10502	4	Q5ZL67	GO:1901329; P:regulation of odontoblast differentiation; ISS:UniProtKB	bGalGal|ENSGALP00010031317.1;bGalGal|ENSGALP00010033077.1;bGalGal|ENSGALP00010035748.1;bGymCal|ENSGALT00010052408.36
cluster10625	4	P11364	N/A	bGalGal|ENSGALP00010034183.1;bGalGal|ENSGALP00010034473.1;bGalGal|ENSGALP00010042750.1;bGymCal|ENSGALT00010056816.58
cluster10950	4	P16413	GO:0004364; F:glutathione transferase activity; IEA:UniProtKB-EC	bGalGal|ENSGALP00010041120.1;bGalGal|ENSGALP00010041405.1;bVulGry|ENSGALT00010067216.37;bVulGry|ENSGALT00010067662.37
cluster11476	3	Q499P8	GO:0016021; C:integral component of membrane; IEA:UniProtKB-KW	bGalGal|ENSGALP00010000202.1;bGalGal|ENSGALP00010000792.1;bVulGry|ENSGALT00010001451.1900
cluster11477	3	O76054	GO:0045540; P:regulation of cholesterol biosynthetic process; NAS:UniProtKB	bGalGal|ENSGALP00010000214.1;bGalGal|ENSGALP00010000579.1;bGymCal|ENSGALT00010000398.41
cluster11501	3	Q8TF74	GO:0051127; P:positive regulation of actin nucleation; IBA:GO_Central	bGalGal|ENSGALP00010001642.1;bGalGal|ENSGALP00010036625.1;bVulGry|ENSGALT00010059865.36
cluster11512	3	Q61072	GO:0007179; P:transforming growth factor beta receptor signaling pathway; IMP:BHF-UCL	bGalGal|ENSGALP00010002328.1;bGalGal|ENSGALP00010024980.1;bVulGry|ENSGALT00010042488.40
cluster11530	3	Q9NQV8	GO:0014003; P:oligodendrocyte development; IBA:GO_Central	bGalGal|ENSGALP00010003989.1;bGalGal|ENSGALP00010029909.1;bVulGry|ENSGALT00010006472.84
cluster11586	3	Q2KHT9	GO:0008289; F:lipid binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010007258.1;bGalGal|ENSGALP00010035300.1;bVulGry|ENSGALT00010058136.36
cluster11597	3	Q9BZ94	GO:0000977; F:RNA polymerase II regulatory region sequence-specific DNA binding; IBA:GO_Central	bGalGal|ENSGALP00010007780.1;bGalGal|ENSGALP00010024015.1;bVulGry|ENSGALT00010041057.9
cluster11750	3	A6QQ70	GO:0000226; P:microtubule cytoskeleton organization; IBA:GO_Central	bGalGal|ENSGALP00010016036.1;bGalGal|ENSGALP00010040900.1;bVulGry|ENSGALT00010066841.45
cluster11754	3	P09309	GO:0039648; P:modulation by virus of host protein ubiquitination; IEA:UniProtKB-KW	bGalGal|ENSGALP00010016412.1;bGalGal|ENSGALP00010017388.1;bGymCal|ENSGALT00010026765.36484
cluster11770	3	A6NMB9	GO:0010569; P:regulation of double-strand break repair via homologous recombination; IBA:GO_Central	bGalGal|ENSGALP00010017403.1;bGalGal|ENSGALP00010032670.1;bVulGry|ENSGALT00010054155.75
cluster11771	3	Q9UJX0	GO:0043065; P:positive regulation of apoptotic process; IEA:InterPro	bGalGal|ENSGALP00010017487.1;bVulGry|ENSGALT00010030105.2;bVulGry|ENSGALT00010060439.12
cluster11775	3	P58242	GO:0006685; P:sphingomyelin catabolic process; IEA:InterPro	bGalGal|ENSGALP00010017733.1;bGalGal|ENSGALP00010017734.1;bVulGry|ENSGALT00010030566.59
cluster11805	3	Q99624	GO:0006814; P:sodium ion transport; IEA:UniProtKB-KW	bGalGal|ENSGALP00010019831.1;bGalGal|ENSGALP00010040930.1;bVulGry|ENSGALT00010066908.14
cluster11812	3	Q9H7F0	GO:0006874; P:cellular calcium ion homeostasis; IBA:GO_Central	bGalGal|ENSGALP00010020349.1;bGalGal|ENSGALP00010029188.1;bVulGry|ENSGALT00010034675.9
cluster11859	3	Q5XHH9	GO:0006629; P:lipid metabolic process; IEA:UniProtKB-KW	bGalGal|ENSGALP00010022925.1;bGalGal|ENSGALP00010036752.1;bGymCal|ENSGALT00010039666.6
cluster11876	3	P14732	GO:0005198; F:structural molecule activity; IEA:InterPro	bGalGal|ENSGALP00010023717.1;bGalGal|ENSGALP00010042235.1;bVulGry|ENSGALT00010068745.82
