# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster6	49	P02450	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010011926.1;bGalGal|ENSGALP00010011942.1;bGalGal|ENSGALP00010011952.1;bGalGal|ENSGALP00010011958.1;bGalGal|ENSGALP00010011974.1;bGalGal|ENSGALP00010011990.1;bGalGal|ENSGALP00010012000.1;bGalGal|ENSGALP00010012018.1;bGalGal|ENSGALP00010013199.1;bGalGal|ENSGALP00010013200.1;bGalGal|ENSGALP00010013214.1;bGalGal|ENSGALP00010013245.1;bGalGal|ENSGALP00010013263.1;bGalGal|ENSGALP00010013277.1;bGalGal|ENSGALP00010013281.1;bGalGal|ENSGALP00010013284.1;bGalGal|ENSGALP00010013294.1;bGalGal|ENSGALP00010013299.1;bGalGal|ENSGALP00010013312.1;bGalGal|ENSGALP00010013339.1;bGalGal|ENSGALP00010013356.1;bGalGal|ENSGALP00010013366.1;bGymCal|ENSGALT00010063047.4384;bGymCal|ENSGALT00010063047.6105;bGymCal|ENSGALT00010069169.16574;bGymCal|ENSGALT00010069169.23495;bGypBar|ENSGALT00010020602.1170;bGypBar|ENSGALT00010020602.1565;bGypBar|ENSGALT00010020602.2085;bGypBar|ENSGALT00010020602.2216;bGypBar|ENSGALT00010020602.2719;bGypBar|ENSGALT00010020602.2723;bGypBar|ENSGALT00010020602.2892;bGypBar|ENSGALT00010020602.2897;bGypBar|ENSGALT00010020602.2905;bGypBar|ENSGALT00010020602.4279;bGypBar|ENSGALT00010020602.4348;bGypBar|ENSGALT00010020602.5637;bGypBar|ENSGALT00010020602.6096;bGypBar|ENSGALT00010020602.660;bGypBar|ENSGALT00010020602.9498;bGypBar|ENSGALT00010020602.970;bGypBar|ENSGALT00010020817.23901;bGypBar|ENSGALT00010023019.660;bGypHim|ENSGALT00010020602.43065;bGypHim|ENSGALT00010020602.46407;bGypHim|ENSGALT00010020686.33780;bGypHim|ENSGALT00010069154.28956;bGypHim|ENSGALT00010069165.23331
cluster8	48	O13152	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010011646.1;bGalGal|ENSGALP00010011654.1;bGalGal|ENSGALP00010011661.1;bGalGal|ENSGALP00010011670.1;bGalGal|ENSGALP00010011688.1;bGalGal|ENSGALP00010011863.1;bGalGal|ENSGALP00010011866.1;bGalGal|ENSGALP00010011940.1;bGalGal|ENSGALP00010015207.1;bGymCal|ENSGALT00010001048.65956;bGymCal|ENSGALT00010001048.81394;bGymCal|ENSGALT00010020098.39868;bGymCal|ENSGALT00010020098.8436;bGymCal|ENSGALT00010020098.8438;bGymCal|ENSGALT00010020098.8469;bGymCal|ENSGALT00010020098.8470;bGymCal|ENSGALT00010020098.8489;bGymCal|ENSGALT00010020098.9244;bGymCal|ENSGALT00010026656.41458;bGymCal|ENSGALT00010069188.121784;bGypBar|ENSGALT00010020098.1380;bGypBar|ENSGALT00010020098.1779;bGypBar|ENSGALT00010020098.1785;bGypBar|ENSGALT00010020098.2118;bGypBar|ENSGALT00010020098.2367;bGypBar|ENSGALT00010020098.3304;bGypBar|ENSGALT00010020098.3325;bGypBar|ENSGALT00010020098.377;bGypBar|ENSGALT00010020098.4384;bGypBar|ENSGALT00010020098.462;bGypBar|ENSGALT00010020098.501;bGypBar|ENSGALT00010020098.559;bGypBar|ENSGALT00010020098.679;bGypBar|ENSGALT00010020098.873;bGypHim|ENSGALT00010020098.1047;bGypHim|ENSGALT00010020098.1055;bGypHim|ENSGALT00010020098.1081;bGypHim|ENSGALT00010020098.1138;bGypHim|ENSGALT00010020098.1212;bGypHim|ENSGALT00010020098.1323;bGypHim|ENSGALT00010020098.1414;bGypHim|ENSGALT00010020098.1676;bGypHim|ENSGALT00010020098.1925;bGypHim|ENSGALT00010020098.1949;bGypHim|ENSGALT00010020098.974;bGypHim|ENSGALT00010020098.975;bGypHim|ENSGALT00010020098.984;bGypHim|ENSGALT00010020122.984
cluster12	43	P04459	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010042518.1;bGalGal|ENSGALP00010042519.1;bGalGal|ENSGALP00010042521.1;bGalGal|ENSGALP00010042525.1;bGalGal|ENSGALP00010042526.1;bGalGal|ENSGALP00010042534.1;bGalGal|ENSGALP00010042535.1;bGalGal|ENSGALP00010042871.1;bGalGal|ENSGALP00010042872.1;bGalGal|ENSGALP00010042873.1;bGalGal|ENSGALP00010042877.1;bGalGal|ENSGALP00010042882.1;bGalGal|ENSGALP00010042886.1;bGalGal|ENSGALP00010042888.1;bGalGal|ENSGALP00010042889.1;bGalGal|ENSGALP00010042890.1;bGalGal|ENSGALP00010042894.1;bGalGal|ENSGALP00010042895.1;bGalGal|ENSGALP00010042898.1;bGymCal|ENSGALT00010001048.5633;bGymCal|ENSGALT00010069045.1974;bGymCal|ENSGALT00010069076.98;bGymCal|ENSGALT00010069079.12375;bGymCal|ENSGALT00010069083.2641;bGypBar|ENSGALT00010069045.609;bGypBar|ENSGALT00010069073.107;bGypBar|ENSGALT00010069073.2390;bGypBar|ENSGALT00010069073.466;bGypBar|ENSGALT00010069073.819;bGypBar|ENSGALT00010069073.9105;bGypBar|ENSGALT00010069076.1105;bGypBar|ENSGALT00010069076.456;bGypBar|ENSGALT00010069076.609;bGypBar|ENSGALT00010069076.663;bGypBar|ENSGALT00010069076.677;bGypBar|ENSGALT00010069076.819;bGypBar|ENSGALT00010069076.836;bGypBar|ENSGALT00010069076.86;bGypBar|ENSGALT00010069076.929;bGypBar|ENSGALT00010069077.456;bGypBar|ENSGALT00010069077.609;bGypHim|ENSGALT00010001058.9670;bGypHim|ENSGALT00010069073.1264
cluster13	43	Q5M8M2	N/A	bGalGal|ENSGALP00010043896.1;bGalGal|ENSGALP00010043897.1;bGalGal|ENSGALP00010043898.1;bGalGal|ENSGALP00010043899.1;bGalGal|ENSGALP00010043901.1;bGalGal|ENSGALP00010043906.1;bGalGal|ENSGALP00010043907.1;bGalGal|ENSGALP00010043911.1;bGalGal|ENSGALP00010043912.1;bGalGal|ENSGALP00010043913.1;bGalGal|ENSGALP00010043917.1;bGalGal|ENSGALP00010043920.1;bGalGal|ENSGALP00010043922.1;bGalGal|ENSGALP00010043924.1;bGalGal|ENSGALP00010043925.1;bGalGal|ENSGALP00010043926.1;bGalGal|ENSGALP00010043929.1;bGalGal|ENSGALP00010043933.1;bGalGal|ENSGALP00010043934.1;bGalGal|ENSGALP00010043936.1;bGalGal|ENSGALP00010043937.1;bGalGal|ENSGALP00010043938.1;bGalGal|ENSGALP00010043940.1;bGalGal|ENSGALP00010043941.1;bGalGal|ENSGALP00010043942.1;bGalGal|ENSGALP00010043948.1;bGalGal|ENSGALP00010043972.1;bGalGal|ENSGALP00010043973.1;bGalGal|ENSGALP00010043979.1;bGalGal|ENSGALP00010043980.1;bGalGal|ENSGALP00010044008.1;bGalGal|ENSGALP00010044835.1;bGalGal|ENSGALP00010044836.1;bGypBar|ENSGALT00010071205.11235;bGypBar|ENSGALT00010071205.11369;bGypBar|ENSGALT00010071205.2943;bGypBar|ENSGALT00010071205.3036;bGypBar|ENSGALT00010071205.4881;bGypBar|ENSGALT00010071205.4890;bGypHim|ENSGALT00010071205.17427;bGypHim|ENSGALT00010071205.17652;bGypHim|ENSGALT00010071215.18961;bGypHim|ENSGALT00010071250.25480
cluster25	30	Q9QC07	GO:0015074; P:DNA integration; IEA:InterPro	bGalGal|ENSGALP00010000082.1;bGalGal|ENSGALP00010000112.1;bGalGal|ENSGALP00010000165.1;bGalGal|ENSGALP00010000367.1;bGalGal|ENSGALP00010000369.1;bGalGal|ENSGALP00010000530.1;bGalGal|ENSGALP00010000874.1;bGalGal|ENSGALP00010002052.1;bGalGal|ENSGALP00010002065.1;bGalGal|ENSGALP00010004569.1;bGalGal|ENSGALP00010004573.1;bGalGal|ENSGALP00010004577.1;bGalGal|ENSGALP00010005988.1;bGalGal|ENSGALP00010006916.1;bGalGal|ENSGALP00010008517.1;bGalGal|ENSGALP00010008626.1;bGalGal|ENSGALP00010014217.1;bGalGal|ENSGALP00010015798.1;bGalGal|ENSGALP00010016243.1;bGalGal|ENSGALP00010017582.1;bGalGal|ENSGALP00010018508.1;bGalGal|ENSGALP00010019301.1;bGalGal|ENSGALP00010019350.1;bGalGal|ENSGALP00010021481.1;bGalGal|ENSGALP00010026924.1;bGalGal|ENSGALP00010035070.1;bGalGal|ENSGALP00010035150.1;bGalGal|ENSGALP00010035214.1;bGalGal|ENSGALP00010035245.1;bGypBar|ENSGALT00010031636.28604
cluster27	29	C0HL66	GO:0007140; P:male meiotic nuclear division; IGI:FlyBase	bGalGal|ENSGALP00010011211.1;bGalGal|ENSGALP00010016931.1;bGalGal|ENSGALP00010017063.1;bGalGal|ENSGALP00010017077.1;bGalGal|ENSGALP00010017166.1;bGalGal|ENSGALP00010019354.1;bGymCal|ENSGALT00010029191.1;bGymCal|ENSGALT00010029191.10682;bGymCal|ENSGALT00010029191.1928;bGymCal|ENSGALT00010029379.1;bGymCal|ENSGALT00010029395.1;bGymCal|ENSGALT00010029534.1;bGymCal|ENSGALT00010029534.2594;bGypBar|ENSGALT00010019662.131;bGypBar|ENSGALT00010029191.1001;bGypBar|ENSGALT00010029191.1149;bGypBar|ENSGALT00010029191.23;bGypBar|ENSGALT00010029379.23;bGypBar|ENSGALT00010029400.3732;bGypBar|ENSGALT00010029534.1359;bGypBar|ENSGALT00010029534.23;bGypHim|ENSGALT00010029191.1505;bGypHim|ENSGALT00010029191.226;bGypHim|ENSGALT00010029379.226;bGypHim|ENSGALT00010029395.1290;bGypHim|ENSGALT00010029395.2159;bGypHim|ENSGALT00010029400.2668;bGypHim|ENSGALT00010029534.1666;bVulGry|ENSGALT00010019662.149
cluster32	28	N/A	N/A	bGalGal|ENSGALP00010001971.1;bGalGal|ENSGALP00010003278.1;bGalGal|ENSGALP00010004566.1;bGalGal|ENSGALP00010004632.1;bGalGal|ENSGALP00010004634.1;bGalGal|ENSGALP00010004658.1;bGalGal|ENSGALP00010004667.1;bGalGal|ENSGALP00010004690.1;bGalGal|ENSGALP00010004695.1;bGalGal|ENSGALP00010004715.1;bGalGal|ENSGALP00010004731.1;bGalGal|ENSGALP00010004753.1;bGalGal|ENSGALP00010004764.1;bGalGal|ENSGALP00010004768.1;bGalGal|ENSGALP00010004773.1;bGymCal|ENSGALT00010003529.13094;bGymCal|ENSGALT00010003529.18201;bGypBar|ENSGALT00010003529.174;bGypBar|ENSGALT00010003529.258;bGypBar|ENSGALT00010003529.259;bGypBar|ENSGALT00010003529.510;bGypBar|ENSGALT00010003529.514;bGypBar|ENSGALT00010003529.5611;bGypBar|ENSGALT00010005439.148;bGypBar|ENSGALT00010005439.181;bGypHim|ENSGALT00010003529.10034;bGypHim|ENSGALT00010003529.10505;bGypHim|ENSGALT00010003529.8906
cluster34	27	P0C1H5	GO:0006334; P:nucleosome assembly; IBA:GO_Central	bGalGal|ENSGALP00010016494.1;bGalGal|ENSGALP00010017175.1;bGalGal|ENSGALP00010020330.1;bGalGal|ENSGALP00010020343.1;bGymCal|ENSGALT00010028687.1;bGymCal|ENSGALT00010029158.1;bGymCal|ENSGALT00010029158.3174;bGymCal|ENSGALT00010029346.1928;bGymCal|ENSGALT00010029546.1;bGymCal|ENSGALT00010034597.1;bGymCal|ENSGALT00010034597.925;bGymCal|ENSGALT00010034665.3157;bGypBar|ENSGALT00010028687.23;bGypBar|ENSGALT00010029158.1601;bGypBar|ENSGALT00010029158.23;bGypBar|ENSGALT00010029546.23;bGypBar|ENSGALT00010029546.555;bGypBar|ENSGALT00010034597.23;bGypBar|ENSGALT00010034597.555;bGypBar|ENSGALT00010034665.1149;bGypHim|ENSGALT00010028687.226;bGypHim|ENSGALT00010029158.2043;bGypHim|ENSGALT00010029158.226;bGypHim|ENSGALT00010029546.226;bGypHim|ENSGALT00010029546.919;bGypHim|ENSGALT00010034597.226;bGypHim|ENSGALT00010034597.919
cluster35	27	Q6ZUA9	N/A	bGalGal|ENSGALP00010032262.1;bGymCal|ENSGALT00010053545.3136;bGymCal|ENSGALT00010053545.6584;bGymCal|ENSGALT00010053545.6852;bGymCal|ENSGALT00010053545.8574;bGymCal|ENSGALT00010053559.8610;bGypBar|ENSGALT00010014176.1858;bGypBar|ENSGALT00010014176.3563;bGypBar|ENSGALT00010014176.6362;bGypBar|ENSGALT00010014204.3810;bGypBar|ENSGALT00010053559.1489;bGypBar|ENSGALT00010053559.2261;bGypBar|ENSGALT00010053559.2358;bGypBar|ENSGALT00010053559.3368;bGypBar|ENSGALT00010053559.4298;bGypBar|ENSGALT00010053559.6528;bGypBar|ENSGALT00010053559.6547;bGypHim|ENSGALT00010014176.18537;bGypHim|ENSGALT00010014176.18680;bGypHim|ENSGALT00010014176.28730;bGypHim|ENSGALT00010014176.8362;bGypHim|ENSGALT00010014176.8416;bGypHim|ENSGALT00010014204.2767;bGypHim|ENSGALT00010018472.3432;bGypHim|ENSGALT00010023119.18679;bGypHim|ENSGALT00010053559.4857;bVulGry|ENSGALT00010014204.12181
cluster36	26	P15979	GO:0006955; P:immune response; IBA:GO_Central	bGalGal|ENSGALP00010000192.1;bGalGal|ENSGALP00010000194.1;bGalGal|ENSGALP00010002851.1;bGalGal|ENSGALP00010003022.1;bGalGal|ENSGALP00010003079.1;bGalGal|ENSGALP00010003089.1;bGalGal|ENSGALP00010003096.1;bGalGal|ENSGALP00010003108.1;bGalGal|ENSGALP00010003388.1;bGalGal|ENSGALP00010003418.1;bGalGal|ENSGALP00010003454.1;bGalGal|ENSGALP00010003530.1;bGalGal|ENSGALP00010003554.1;bGalGal|ENSGALP00010004373.1;bGalGal|ENSGALP00010005027.1;bGalGal|ENSGALP00010005042.1;bGalGal|ENSGALP00010005066.1;bGalGal|ENSGALP00010005075.1;bGalGal|ENSGALP00010005093.1;bGalGal|ENSGALP00010005104.1;bGalGal|ENSGALP00010005134.1;bGalGal|ENSGALP00010005186.1;bGypBar|ENSGALT00010008590.5488;bGypBar|ENSGALT00010008590.5511;bGypHim|ENSGALT00010005715.8689;bGypHim|ENSGALT00010008590.4403
