# cluster_name	protein_number	swiss_prot_id	go_annotation	protein_list
cluster8	48	O13152	GO:0005200; F:structural constituent of cytoskeleton; IEA:InterPro	bGalGal|ENSGALP00010011646.1;bGalGal|ENSGALP00010011654.1;bGalGal|ENSGALP00010011661.1;bGalGal|ENSGALP00010011670.1;bGalGal|ENSGALP00010011688.1;bGalGal|ENSGALP00010011863.1;bGalGal|ENSGALP00010011866.1;bGalGal|ENSGALP00010011940.1;bGalGal|ENSGALP00010015207.1;bGymCal|ENSGALT00010001048.65956;bGymCal|ENSGALT00010001048.81394;bGymCal|ENSGALT00010020098.39868;bGymCal|ENSGALT00010020098.8436;bGymCal|ENSGALT00010020098.8438;bGymCal|ENSGALT00010020098.8469;bGymCal|ENSGALT00010020098.8470;bGymCal|ENSGALT00010020098.8489;bGymCal|ENSGALT00010020098.9244;bGymCal|ENSGALT00010026656.41458;bGymCal|ENSGALT00010069188.121784;bGypBar|ENSGALT00010020098.1380;bGypBar|ENSGALT00010020098.1779;bGypBar|ENSGALT00010020098.1785;bGypBar|ENSGALT00010020098.2118;bGypBar|ENSGALT00010020098.2367;bGypBar|ENSGALT00010020098.3304;bGypBar|ENSGALT00010020098.3325;bGypBar|ENSGALT00010020098.377;bGypBar|ENSGALT00010020098.4384;bGypBar|ENSGALT00010020098.462;bGypBar|ENSGALT00010020098.501;bGypBar|ENSGALT00010020098.559;bGypBar|ENSGALT00010020098.679;bGypBar|ENSGALT00010020098.873;bGypHim|ENSGALT00010020098.1047;bGypHim|ENSGALT00010020098.1055;bGypHim|ENSGALT00010020098.1081;bGypHim|ENSGALT00010020098.1138;bGypHim|ENSGALT00010020098.1212;bGypHim|ENSGALT00010020098.1323;bGypHim|ENSGALT00010020098.1414;bGypHim|ENSGALT00010020098.1676;bGypHim|ENSGALT00010020098.1925;bGypHim|ENSGALT00010020098.1949;bGypHim|ENSGALT00010020098.974;bGypHim|ENSGALT00010020098.975;bGypHim|ENSGALT00010020098.984;bGypHim|ENSGALT00010020122.984
cluster10	44	Q920L3	GO:0006511; P:ubiquitin-dependent protein catabolic process; ISS:UniProtKB	bGalGal|ENSGALP00010004159.1;bGalGal|ENSGALP00010008373.1;bGalGal|ENSGALP00010017053.1;bGalGal|ENSGALP00010017083.1;bGalGal|ENSGALP00010017212.1;bGalGal|ENSGALP00010017220.1;bGalGal|ENSGALP00010017239.1;bGalGal|ENSGALP00010017251.1;bGalGal|ENSGALP00010017261.1;bGalGal|ENSGALP00010017276.1;bGalGal|ENSGALP00010017281.1;bGymCal|ENSGALT00010006820.37668;bGymCal|ENSGALT00010014264.64850;bGymCal|ENSGALT00010014264.66684;bGymCal|ENSGALT00010014904.136462;bGymCal|ENSGALT00010014904.25772;bGymCal|ENSGALT00010014904.33384;bGymCal|ENSGALT00010014904.34664;bGymCal|ENSGALT00010014904.41900;bGymCal|ENSGALT00010014904.45039;bGymCal|ENSGALT00010014904.78465;bGymCal|ENSGALT00010014904.78570;bGymCal|ENSGALT00010026706.36484;bGymCal|ENSGALT00010028578.57381;bGymCal|ENSGALT00010029366.10333;bGymCal|ENSGALT00010029591.117902;bGymCal|ENSGALT00010029591.56957;bGymCal|ENSGALT00010029591.64027;bGypBar|ENSGALT00010014264.38441;bGypBar|ENSGALT00010029366.16555;bGypBar|ENSGALT00010029366.25428;bGypBar|ENSGALT00010029408.7014;bGypBar|ENSGALT00010029591.117463;bGypBar|ENSGALT00010029591.43960;bGypBar|ENSGALT00010029591.44220;bGypBar|ENSGALT00010029591.44523;bGypBar|ENSGALT00010029591.80844;bGypBar|ENSGALT00010029630.63675;bGypBar|ENSGALT00010029647.1497;bGypHim|ENSGALT00010014264.41860;bGypHim|ENSGALT00010014264.46082;bGypHim|ENSGALT00010014264.49495;bGypHim|ENSGALT00010029408.4395;bGypHim|ENSGALT00010029591.45536
cluster18	34	P28990	GO:0039548; P:suppression by virus of host IRF3 activity; IEA:UniProtKB-KW	bGalGal|ENSGALP00010008773.1;bGalGal|ENSGALP00010015221.1;bGalGal|ENSGALP00010015235.1;bGalGal|ENSGALP00010015245.1;bGalGal|ENSGALP00010015262.1;bGalGal|ENSGALP00010019083.1;bGymCal|ENSGALT00010006820.70277;bGymCal|ENSGALT00010014264.80929;bGymCal|ENSGALT00010014264.81168;bGymCal|ENSGALT00010014264.82476;bGymCal|ENSGALT00010014264.82492;bGymCal|ENSGALT00010014904.61605;bGymCal|ENSGALT00010026684.77487;bGymCal|ENSGALT00010029366.6882;bGymCal|ENSGALT00010029591.91062;bGymCal|ENSGALT00010029601.146453;bGypBar|ENSGALT00010014264.101802;bGypBar|ENSGALT00010014264.59302;bGypBar|ENSGALT00010014264.65543;bGypBar|ENSGALT00010014264.66519;bGypBar|ENSGALT00010014904.128;bGypBar|ENSGALT00010014904.67524;bGypBar|ENSGALT00010026684.15978;bGypHim|ENSGALT00010014264.88944;bGypHim|ENSGALT00010014264.90511;bGypHim|ENSGALT00010014264.90785;bGypHim|ENSGALT00010014904.21798;bGypHim|ENSGALT00010014904.23318;bGypHim|ENSGALT00010014904.25108;bGypHim|ENSGALT00010014904.29108;bGypHim|ENSGALT00010014904.38452;bGypHim|ENSGALT00010014904.45907;bGypHim|ENSGALT00010026684.114264;bVulGry|ENSGALT00010028578.74710
cluster23	31	A0A0B4J1V1	GO:0050871; P:positive regulation of B cell activation; IBA:GO_Central	bGalGal|ENSGALP00010005007.1;bGalGal|ENSGALP00010005111.1;bGalGal|ENSGALP00010005116.1;bGymCal|ENSGALT00010008212.1448;bGymCal|ENSGALT00010008429.25306;bGymCal|ENSGALT00010008429.29595;bGymCal|ENSGALT00010008433.7911;bGymCal|ENSGALT00010008466.5439;bGymCal|ENSGALT00010008466.7954;bGymCal|ENSGALT00010008565.4158;bGymCal|ENSGALT00010008610.17516;bGypBar|ENSGALT00010008076.4007;bGypBar|ENSGALT00010008431.2599;bGypBar|ENSGALT00010008466.1277;bGypBar|ENSGALT00010008520.18939;bGypBar|ENSGALT00010008520.7036;bGypBar|ENSGALT00010008622.7096;bGypBar|ENSGALT00010008740.373;bGypHim|ENSGALT00010008076.14947;bGypHim|ENSGALT00010008076.9751;bGypHim|ENSGALT00010008324.9751;bGypHim|ENSGALT00010008431.3768;bGypHim|ENSGALT00010008431.6811;bGypHim|ENSGALT00010008466.3951;bGypHim|ENSGALT00010008552.2379;bGypHim|ENSGALT00010008610.10508;bVulGry|ENSGALT00010008230.213;bVulGry|ENSGALT00010008565.2165;bVulGry|ENSGALT00010008610.4344;bVulGry|ENSGALT00010008610.7278;bVulGry|ENSGALT00010008622.7278
cluster27	29	C0HL66	GO:0007140; P:male meiotic nuclear division; IGI:FlyBase	bGalGal|ENSGALP00010011211.1;bGalGal|ENSGALP00010016931.1;bGalGal|ENSGALP00010017063.1;bGalGal|ENSGALP00010017077.1;bGalGal|ENSGALP00010017166.1;bGalGal|ENSGALP00010019354.1;bGymCal|ENSGALT00010029191.1;bGymCal|ENSGALT00010029191.10682;bGymCal|ENSGALT00010029191.1928;bGymCal|ENSGALT00010029379.1;bGymCal|ENSGALT00010029395.1;bGymCal|ENSGALT00010029534.1;bGymCal|ENSGALT00010029534.2594;bGypBar|ENSGALT00010019662.131;bGypBar|ENSGALT00010029191.1001;bGypBar|ENSGALT00010029191.1149;bGypBar|ENSGALT00010029191.23;bGypBar|ENSGALT00010029379.23;bGypBar|ENSGALT00010029400.3732;bGypBar|ENSGALT00010029534.1359;bGypBar|ENSGALT00010029534.23;bGypHim|ENSGALT00010029191.1505;bGypHim|ENSGALT00010029191.226;bGypHim|ENSGALT00010029379.226;bGypHim|ENSGALT00010029395.1290;bGypHim|ENSGALT00010029395.2159;bGypHim|ENSGALT00010029400.2668;bGypHim|ENSGALT00010029534.1666;bVulGry|ENSGALT00010019662.149
cluster28	29	Q8IUE6	GO:0006325; P:chromatin organization; IBA:GO_Central	bGalGal|ENSGALP00010017138.1;bGalGal|ENSGALP00010017144.1;bGalGal|ENSGALP00010017191.1;bGalGal|ENSGALP00010019341.1;bGalGal|ENSGALP00010040412.1;bGymCal|ENSGALT00010029346.1;bGymCal|ENSGALT00010029362.35681;bGymCal|ENSGALT00010029367.925;bGymCal|ENSGALT00010029374.1;bGymCal|ENSGALT00010029374.1928;bGymCal|ENSGALT00010029499.1;bGymCal|ENSGALT00010029564.2594;bGymCal|ENSGALT00010066146.14;bGypBar|ENSGALT00010029367.555;bGypBar|ENSGALT00010029374.23;bGypBar|ENSGALT00010029486.23;bGypBar|ENSGALT00010029499.23;bGypBar|ENSGALT00010029564.1359;bGypBar|ENSGALT00010032636.23;bGypBar|ENSGALT00010066146.24;bGypHim|ENSGALT00010029158.18755;bGypHim|ENSGALT00010029346.226;bGypHim|ENSGALT00010029486.226;bGypHim|ENSGALT00010029486.919;bGypHim|ENSGALT00010029499.226;bGypHim|ENSGALT00010029564.1666;bGypHim|ENSGALT00010032636.226;bGypHim|ENSGALT00010066146.9;bVulGry|ENSGALT00010066146.14
cluster34	27	P0C1H5	GO:0006334; P:nucleosome assembly; IBA:GO_Central	bGalGal|ENSGALP00010016494.1;bGalGal|ENSGALP00010017175.1;bGalGal|ENSGALP00010020330.1;bGalGal|ENSGALP00010020343.1;bGymCal|ENSGALT00010028687.1;bGymCal|ENSGALT00010029158.1;bGymCal|ENSGALT00010029158.3174;bGymCal|ENSGALT00010029346.1928;bGymCal|ENSGALT00010029546.1;bGymCal|ENSGALT00010034597.1;bGymCal|ENSGALT00010034597.925;bGymCal|ENSGALT00010034665.3157;bGypBar|ENSGALT00010028687.23;bGypBar|ENSGALT00010029158.1601;bGypBar|ENSGALT00010029158.23;bGypBar|ENSGALT00010029546.23;bGypBar|ENSGALT00010029546.555;bGypBar|ENSGALT00010034597.23;bGypBar|ENSGALT00010034597.555;bGypBar|ENSGALT00010034665.1149;bGypHim|ENSGALT00010028687.226;bGypHim|ENSGALT00010029158.2043;bGypHim|ENSGALT00010029158.226;bGypHim|ENSGALT00010029546.226;bGypHim|ENSGALT00010029546.919;bGypHim|ENSGALT00010034597.226;bGypHim|ENSGALT00010034597.919
cluster46	23	N/A	N/A	bGalGal|ENSGALP00010014891.1;bGalGal|ENSGALP00010014987.1;bGalGal|ENSGALP00010015002.1;bGalGal|ENSGALP00010015009.1;bGalGal|ENSGALP00010015027.1;bGymCal|ENSGALT00010026363.2402;bGymCal|ENSGALT00010026378.1079;bGymCal|ENSGALT00010026378.1430;bGymCal|ENSGALT00010026378.2231;bGymCal|ENSGALT00010026378.2236;bGymCal|ENSGALT00010026378.2402;bGymCal|ENSGALT00010026378.373;bGymCal|ENSGALT00010026378.393;bGymCal|ENSGALT00010026378.4205;bGymCal|ENSGALT00010026378.725;bGymCal|ENSGALT00010026378.9187;bGymCal|ENSGALT00010026378.9600;bGymCal|ENSGALT00010026409.373;bGypBar|ENSGALT00010026378.249;bGypBar|ENSGALT00010026378.4063;bGypHim|ENSGALT00010026378.1204;bGypHim|ENSGALT00010026378.1424;bGypHim|ENSGALT00010026378.2013
cluster51	22	Q8NGE5	GO:0004984; F:olfactory receptor activity; IBA:GO_Central	bGalGal|ENSGALP00010037585.1;bGymCal|ENSGALT00010002951.21722;bGymCal|ENSGALT00010003015.59366;bGymCal|ENSGALT00010003015.78051;bGymCal|ENSGALT00010003015.8945;bGymCal|ENSGALT00010003016.21342;bGymCal|ENSGALT00010003016.30168;bGymCal|ENSGALT00010003244.61468;bGymCal|ENSGALT00010003279.14060;bGymCal|ENSGALT00010003565.37915;bGymCal|ENSGALT00010003580.14346;bGymCal|ENSGALT00010004098.7295;bGymCal|ENSGALT00010053882.82157;bGymCal|ENSGALT00010053988.59468;bGymCal|ENSGALT00010060826.11;bGypBar|ENSGALT00010003004.70319;bGypBar|ENSGALT00010003212.14028;bGypBar|ENSGALT00010003580.12056;bGypHim|ENSGALT00010002916.138670;bVulGry|ENSGALT00010004014.134956;bVulGry|ENSGALT00010004522.1052;bVulGry|ENSGALT00010060826.11
cluster52	22	P19180	GO:0003823; F:antigen binding; IEA:UniProtKB-KW	bGalGal|ENSGALP00010038382.1;bGalGal|ENSGALP00010038388.1;bGalGal|ENSGALP00010038405.1;bGalGal|ENSGALP00010038523.1;bGalGal|ENSGALP00010038615.1;bGalGal|ENSGALP00010038638.1;bGalGal|ENSGALP00010038641.1;bGalGal|ENSGALP00010038712.1;bGalGal|ENSGALP00010038720.1;bGymCal|ENSGALT00010062101.171;bGymCal|ENSGALT00010062101.1939;bGymCal|ENSGALT00010062101.4401;bGymCal|ENSGALT00010062101.4425;bGymCal|ENSGALT00010062101.5402;bGymCal|ENSGALT00010062101.7749;bGymCal|ENSGALT00010062379.16913;bGypBar|ENSGALT00010062317.26012;bGypBar|ENSGALT00010062472.4062;bGypBar|ENSGALT00010062472.49;bGypHim|ENSGALT00010008429.150401;bGypHim|ENSGALT00010062317.47207;bGypHim|ENSGALT00010062317.59167
